,Unnamed: 0,County,State,Population2019,Abbrev,Code
0,0,Autauga,Alabama,55869,Ala.,AL
1,1,Baldwin,Alabama,223234,Ala.,AL
2,2,Barbour,Alabama,24686,Ala.,AL
3,3,Bibb,Alabama,22394,Ala.,AL
4,4,Blount,Alabama,57826,Ala.,AL
5,5,Bullock,Alabama,10101,Ala.,AL
6,6,Butler,Alabama,19448,Ala.,AL
7,7,Calhoun,Alabama,113605,Ala.,AL
8,8,Chambers,Alabama,33254,Ala.,AL
9,9,Cherokee,Alabama,26196,Ala.,AL
10,10,Chilton,Alabama,44428,Ala.,AL
11,11,Choctaw,Alabama,12589,Ala.,AL
12,12,Clarke,Alabama,23622,Ala.,AL
13,13,Clay,Alabama,13235,Ala.,AL
14,14,Cleburne,Alabama,14910,Ala.,AL
15,15,Coffee,Alabama,52342,Ala.,AL
16,16,Colbert,Alabama,55241,Ala.,AL
17,17,Conecuh,Alabama,12067,Ala.,AL
18,18,Coosa,Alabama,10663,Ala.,AL
19,19,Covington,Alabama,37049,Ala.,AL
20,20,Crenshaw,Alabama,13772,Ala.,AL
21,21,Cullman,Alabama,83768,Ala.,AL
22,22,Dale,Alabama,49172,Ala.,AL
23,23,Dallas,Alabama,37196,Ala.,AL
24,24,DeKalb,Alabama,71513,Ala.,AL
25,25,Elmore,Alabama,81209,Ala.,AL
26,26,Escambia,Alabama,36633,Ala.,AL
27,27,Etowah,Alabama,102268,Ala.,AL
28,28,Fayette,Alabama,16302,Ala.,AL
29,29,Franklin,Alabama,31362,Ala.,AL
30,30,Geneva,Alabama,26271,Ala.,AL
31,31,Greene,Alabama,8111,Ala.,AL
32,32,Hale,Alabama,14651,Ala.,AL
33,33,Henry,Alabama,17205,Ala.,AL
34,34,Houston,Alabama,105882,Ala.,AL
35,35,Jackson,Alabama,51626,Ala.,AL
36,36,Jefferson,Alabama,658573,Ala.,AL
37,37,Lamar,Alabama,13805,Ala.,AL
38,38,Lauderdale,Alabama,92729,Ala.,AL
39,39,Lawrence,Alabama,32924,Ala.,AL
40,40,Lee,Alabama,164542,Ala.,AL
41,41,Limestone,Alabama,98915,Ala.,AL
42,42,Lowndes,Alabama,9726,Ala.,AL
43,43,Macon,Alabama,18068,Ala.,AL
44,44,Madison,Alabama,372909,Ala.,AL
45,45,Marengo,Alabama,18863,Ala.,AL
46,46,Marion,Alabama,29709,Ala.,AL
47,47,Marshall,Alabama,96774,Ala.,AL
48,48,Mobile,Alabama,413210,Ala.,AL
49,49,Monroe,Alabama,20733,Ala.,AL
50,50,Montgomery,Alabama,226486,Ala.,AL
51,51,Morgan,Alabama,119679,Ala.,AL
52,52,Perry,Alabama,8923,Ala.,AL
53,53,Pickens,Alabama,19930,Ala.,AL
54,54,Pike,Alabama,33114,Ala.,AL
55,55,Randolph,Alabama,22722,Ala.,AL
56,56,Russell,Alabama,57961,Ala.,AL
57,57,St. Clair,Alabama,89512,Ala.,AL
58,58,Shelby,Alabama,217702,Ala.,AL
59,59,Sumter,Alabama,12427,Ala.,AL
60,60,Talladega,Alabama,79978,Ala.,AL
61,61,Tallapoosa,Alabama,40367,Ala.,AL
62,62,Tuscaloosa,Alabama,209355,Ala.,AL
63,63,Walker,Alabama,63521,Ala.,AL
64,64,Washington,Alabama,16326,Ala.,AL
65,65,Wilcox,Alabama,10373,Ala.,AL
66,66,Winston,Alabama,23629,Ala.,AL
67,67,Aleutians East Borough[d],Alaska,3337,Alaska,AK
68,68,Aleutians West Census Area[e],Alaska,5634,Alaska,AK
69,69,"Anchorage, Municipality of[d][f]",Alaska,288000,Alaska,AK
70,70,Bethel Census Area[e],Alaska,18386,Alaska,AK
71,71,Bristol Bay Borough[d],Alaska,836,Alaska,AK
72,72,Chugach Census Area[e],Alaska,6734,Alaska,AK
73,73,Copper River Census Area[e],Alaska,2764,Alaska,AK
74,74,Denali Borough[d],Alaska,2097,Alaska,AK
75,75,Dillingham Census Area[e],Alaska,4916,Alaska,AK
76,76,Fairbanks North Star Borough[d],Alaska,96849,Alaska,AK
77,77,Haines Borough[d],Alaska,2530,Alaska,AK
78,78,Hoonah–Angoon Census Area[e],Alaska,2148,Alaska,AK
79,79,"Juneau, City and Borough of[d][g]",Alaska,31974,Alaska,AK
80,80,Kenai Peninsula Borough[d],Alaska,58708,Alaska,AK
81,81,Ketchikan Gateway Borough[d],Alaska,13901,Alaska,AK
82,82,Kodiak Island Borough[d],Alaska,12998,Alaska,AK
83,83,Kusilvak Census Area[e],Alaska,8314,Alaska,AK
84,84,Lake and Peninsula Borough[d],Alaska,1592,Alaska,AK
85,85,Matanuska-Susitna Borough[d],Alaska,108317,Alaska,AK
86,86,Nome Census Area[e],Alaska,10004,Alaska,AK
87,87,North Slope Borough[d],Alaska,9832,Alaska,AK
88,88,Northwest Arctic Borough[d],Alaska,7621,Alaska,AK
89,89,Petersburg Borough[d][h],Alaska,3266,Alaska,AK
90,90,Prince of Wales – Hyder Census Area[e],Alaska,6203,Alaska,AK
91,91,"Sitka, City and Borough of[d][i]",Alaska,8493,Alaska,AK
