,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Arizona,AZ,Apache,001,71887,261896533.46999997,3643.169606048381
1,Arizona,AZ,Cochise,003,125922,78949517.07,626.9715940820507
2,Arizona,AZ,Coconino,005,143476,307014630.79,2139.8326604449526
3,Arizona,AZ,Gila,007,54018,71324083.28,1320.376231626495
4,Arizona,AZ,Graham,009,38837,26381164.35,679.2791500373356
5,Arizona,AZ,Greenlee,011,9498,1813891.3,190.97613181722468
6,Arizona,AZ,La Paz,012,21108,50187896.96999999,2377.6718291642974
7,Arizona,AZ,Maricopa,013,4485414,5908599327.54,1317.2918547853108
8,Arizona,AZ,Mohave,015,212181,71270409.64000002,335.89439978131884
9,Arizona,AZ,Navajo,017,110924,140402354.97999996,1265.7527224045289
10,Arizona,AZ,Pima,019,1047279,1249847283.1199992,1193.4234173701557
11,Arizona,AZ,Pinal,021,462789,215709045.51999998,466.1066825702425
12,Arizona,AZ,Santa Cruz,023,46498,5170389.25,111.19594928814142
13,Arizona,AZ,Yavapai,025,235099,194243018.07999998,826.2179680900385
14,Arizona,AZ,Yuma,027,213787,92047178.12999998,430.5555442098911
