,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Alabama,AL,Autauga,001,55869,6076133.73,108.75680126725018
1,Alabama,AL,Baldwin,003,223234,129699670.91999997,581.0032115179586
2,Alabama,AL,Barbour,005,24686,10495761.38,425.17059790974645
3,Alabama,AL,Bibb,007,22394,21292008.04,950.7907493078503
4,Alabama,AL,Blount,009,57826,12612484.049999999,218.11095441496903
5,Alabama,AL,Bullock,011,10101,1821756.89,180.35411246411246
6,Alabama,AL,Butler,013,19448,11462606.29,589.3976907651172
7,Alabama,AL,Calhoun,015,113605,24851493.93,218.7535225562255
8,Alabama,AL,Chambers,017,33254,8012882.510000001,240.95996000481148
9,Alabama,AL,Cherokee,019,26196,6041180.53,230.61461788059248
10,Alabama,AL,Chilton,021,44428,349401246.0399999,7864.4378779148265
11,Alabama,AL,Choctaw,023,12589,2124126.22,168.72874890777663
12,Alabama,AL,Clarke,025,23622,5060145.369999999,214.21324908983146
13,Alabama,AL,Clay,027,13235,458233.0,34.62281828485077
14,Alabama,AL,Cleburne,029,14910,-803055.7900000003,-53.860213950368895
15,Alabama,AL,Coffee,031,52342,10732511.100000001,205.0458732948684
16,Alabama,AL,Colbert,033,55241,15736956.76,284.8782020600641
17,Alabama,AL,Conecuh,035,12067,4163001.09,344.99056020551916
18,Alabama,AL,Coosa,037,10663,2405128.9499999997,225.5583747538216
19,Alabama,AL,Covington,039,37049,10791557.250000002,291.2779629679614
20,Alabama,AL,Crenshaw,041,13772,4744612.78,344.5115291896602
21,Alabama,AL,Cullman,043,83768,17802598.109999996,212.522659129978
22,Alabama,AL,Dale,045,49172,12230878.04,248.73663955096396
23,Alabama,AL,Dallas,047,37196,36060791.96,969.4803731584042
24,Alabama,AL,DeKalb,049,71513,16372706.820000002,228.94727979528201
25,Alabama,AL,Elmore,051,81209,6340688.11,78.07863795884693
26,Alabama,AL,Escambia,053,36633,27643484.769999996,754.6060865885948
27,Alabama,AL,Etowah,055,102268,83133672.17999999,812.9001464778815
28,Alabama,AL,Fayette,057,16302,11095589.85,680.6275211630475
29,Alabama,AL,Franklin,059,31362,10013530.54,319.28864676997637
30,Alabama,AL,Geneva,061,26271,1836961.05,69.92352974763047
31,Alabama,AL,Greene,063,8111,2276627.2800000003,280.6839206016521
32,Alabama,AL,Hale,065,14651,9659436.23,659.3021793734216
33,Alabama,AL,Henry,067,17205,5187099.87,301.48793199651266
34,Alabama,AL,Houston,069,105882,18034928.140000004,170.33044464592663
35,Alabama,AL,Jackson,071,51626,21107236.799999993,408.84896757447785
36,Alabama,AL,Jefferson,073,658573,1441890176.8100004,2189.4158685673424
37,Alabama,AL,Lamar,075,13805,4243734.100000001,307.40558493299534
38,Alabama,AL,Lauderdale,077,92729,14902556.380000003,160.71084968025107
39,Alabama,AL,Lawrence,079,32924,6908535.52,209.83281253796622
40,Alabama,AL,Lee,081,164542,87849646.99,533.9040912958393
41,Alabama,AL,Limestone,083,98915,102127156.88999999,1032.4739108325327
42,Alabama,AL,Lowndes,085,9726,2537757.8800000004,260.9251367468641
43,Alabama,AL,Macon,087,18068,76732877.69,4246.893828315253
44,Alabama,AL,Madison,089,372909,385545942.14000016,1033.8874688999197
45,Alabama,AL,Marengo,091,18863,15878754.63,841.7937035466257
46,Alabama,AL,Marion,093,29709,12404929.059999999,417.54784947322355
47,Alabama,AL,Marshall,095,96774,18953003.689999994,195.84809649285958
48,Alabama,AL,Mobile,097,413210,302141513.62999994,731.2057153263472
49,Alabama,AL,Monroe,099,20733,5890582.54,284.11626585636424
50,Alabama,AL,Montgomery,101,226486,1447334086.56,6390.390958204922
51,Alabama,AL,Morgan,103,119679,31479099.46,263.0294325654459
52,Alabama,AL,Perry,105,8923,9370255.920000002,1050.1239403787965
53,Alabama,AL,Pickens,107,19930,11877817.290000001,595.9767832413447
54,Alabama,AL,Pike,109,33114,33561820.88999999,1013.5236120674033
55,Alabama,AL,Randolph,111,22722,2677926.2600000002,117.85609805474871
56,Alabama,AL,Russell,113,57961,13754975.570000002,237.31432463208023
57,Alabama,AL,St. Clair,115,89512,38460874.33999999,429.6728297881847
58,Alabama,AL,Shelby,117,217702,114159789.89000002,524.3855816207476
59,Alabama,AL,Sumter,119,12427,35315356.14,2841.824747726724
60,Alabama,AL,Talladega,121,79978,43015337.4,537.839623396434
61,Alabama,AL,Tallapoosa,123,40367,91209444.87,2259.5051618896623
62,Alabama,AL,Tuscaloosa,125,209355,214322300.21000007,1023.7266853430779
63,Alabama,AL,Walker,127,63521,32911247.050000004,518.1160096660948
64,Alabama,AL,Washington,129,16326,2199552.89,134.72699313977705
65,Alabama,AL,Wilcox,131,10373,3994580.51,385.0940431890485
66,Alabama,AL,Winston,133,23629,9772171.73,413.56687671928563
