,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,California,CA,Alameda,001,1671329,2112216211.500002,1263.7943884776737
1,California,CA,Alpine,003,1129,162647.0,144.06288751107175
2,California,CA,Amador,005,39752,25952914.060000002,652.8706495270678
3,California,CA,Butte,007,219186,132759651.42000002,605.6940289069559
4,California,CA,Calaveras,009,45905,26251645.100000005,571.8689707003596
5,California,CA,Colusa,011,21547,26768205.0,1242.317027892514
6,California,CA,Contra Costa,013,1153526,301813781.04,261.6445412067002
7,California,CA,Del Norte,015,27812,20741893.779999997,745.7893635840643
8,California,CA,El Dorado,017,192843,127154837.99999996,659.3697360028622
9,California,CA,Fresno,019,999101,484455549.88000005,484.89146730911096
10,California,CA,Glenn,021,28393,85534086.58,3012.5061310886485
11,California,CA,Humboldt,023,135558,247364117.28000003,1824.7843526756078
12,California,CA,Imperial,025,181215,189207358.98999998,1044.1042904284964
13,California,CA,Inyo,027,18039,11047621.830000002,612.4298370197905
14,California,CA,Kern,029,900202,586300771.8899996,651.2991216304781
15,California,CA,Kings,031,152940,78392437.52999997,512.5698805413886
16,California,CA,Lake,033,64386,21634716.72,336.0158531357748
17,California,CA,Lassen,035,30573,20640902.61,675.1350083406927
18,California,CA,Los Angeles,037,10039107,10713362642.829987,1067.1629102897286
19,California,CA,Madera,039,157327,53347985.96,339.08983175170187
20,California,CA,Marin,041,258826,230769810.81,891.6021219274725
21,California,CA,Mariposa,043,17203,7495240.25,435.6937888740336
22,California,CA,Mendocino,045,86749,144064914.47000003,1660.70980034352
23,California,CA,Merced,047,277680,186058154.76000005,670.0452130509941
24,California,CA,Modoc,049,8841,5734864.68,648.6669697997963
25,California,CA,Mono,051,14444,2959868.9699999997,204.9203108557186
26,California,CA,Monterey,053,434061,269039642.39,619.8198925727029
27,California,CA,Napa,055,137744,330408826.12999994,2398.7166492188403
28,California,CA,Nevada,057,99755,37116228.29,372.07386386647283
29,California,CA,Orange,059,3175692,981192425.3999995,308.96964359264047
30,California,CA,Placer,061,398329,61929409.850000024,155.47301313738146
31,California,CA,Plumas,063,18807,28347783.669999998,1507.2996049343328
32,California,CA,Riverside,065,2470546,724183239.1899997,293.12679836360047
33,California,CA,Sacramento,067,1552058,31462595439.890003,20271.533306029803
34,California,CA,San Benito,069,62808,18265762.52,290.819044070819
35,California,CA,San Bernardino,071,2180085,847391917.9099998,388.6967333429659
36,California,CA,San Diego,073,3338330,4941347286.929997,1480.1853881821141
37,California,CA,San Francisco,075,881549,3039109670.150001,3447.4653934721737
38,California,CA,San Joaquin,077,762148,280135609.53000003,367.56064377260066
39,California,CA,San Luis Obispo,079,283111,167316879.89000002,590.9939207236738
40,California,CA,San Mateo,081,766573,396168123.5000001,516.8041706399783
41,California,CA,Santa Barbara,083,446499,370093241.98,828.8780982264238
42,California,CA,Santa Clara,085,1927852,2156968879.200001,1118.8456786101842
43,California,CA,Santa Cruz,087,273213,317297780.22,1161.3568176477695
44,California,CA,Shasta,089,180080,77143270.59999998,428.3833329631274
45,California,CA,Sierra,091,3005,22679734.51,7547.332615640599
46,California,CA,Siskiyou,093,43539,100803355.03999998,2315.2427717678397
47,California,CA,Solano,095,447643,408642518.3000001,912.8759263520262
48,California,CA,Sonoma,097,494336,295404938.27000004,597.5792543330853
49,California,CA,Stanislaus,099,550660,239890374.0299999,435.64154656230687
50,California,CA,Sutter,101,96971,104907147.78000002,1081.8404242505494
51,California,CA,Tehama,103,65084,55977850.85999999,860.0862095138589
52,California,CA,Trinity,105,12285,14439963.049999997,1175.4141676841675
53,California,CA,Tulare,107,466195,229957377.92,493.26435916301114
54,California,CA,Tuolumne,109,54478,11521801.8,211.49458129887296
55,California,CA,Ventura,111,846006,258400194.49999997,305.4354159426765
56,California,CA,Yolo,113,220500,330284663.31000006,1497.8896295238098
57,California,CA,Yuba,115,78668,124900280.05,1587.6885143895865
