,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Colorado,CO,Adams,001,517421,890709873.0100002,1721.4412886411649
1,Colorado,CO,Alamosa,003,16233,43330067.38,2669.258139592189
2,Colorado,CO,Arapahoe,005,656590,2377703775.95,3621.2914847164893
3,Colorado,CO,Archuleta,007,14029,2568533.0,183.08739040558842
4,Colorado,CO,Baca,009,3581,0.0,0.0
5,Colorado,CO,Bent,011,5577,186195.0,33.38622915545992
6,Colorado,CO,Boulder,013,326196,1554935334.1999998,4766.874315442249
8,Colorado,CO,Chaffee,015,20356,4735682.11,232.64305904892908
9,Colorado,CO,Cheyenne,017,1831,94786.0,51.76734025122884
10,Colorado,CO,Clear Creek,019,9700,12554226.0,1294.2501030927835
11,Colorado,CO,Conejos,021,8205,722851.71,88.09892870201097
12,Colorado,CO,Costilla,023,3887,398144.0,102.42963725237972
13,Colorado,CO,Crowley,025,6061,477919.0,78.85150965187263
14,Colorado,CO,Custer,027,5068,1966.0,0.38792423046566693
15,Colorado,CO,Delta,029,31162,14719606.31,472.35756081124447
16,Colorado,CO,Denver,031,727211,2756292333.1099987,3790.2236532588186
17,Colorado,CO,Dolores,033,2055,998250.0,485.7664233576642
18,Colorado,CO,Douglas,035,351154,35637160.010000005,101.48584384628968
19,Colorado,CO,Eagle,037,55127,10881182.4,197.38390262484808
20,Colorado,CO,Elbert,039,26729,4032959.0,150.8832728497138
21,Colorado,CO,El Paso,041,720403,252593901.40000007,350.6286084316696
22,Colorado,CO,Fremont,043,47839,62634347.559999995,1309.2737632475594
23,Colorado,CO,Garfield,045,60061,69792871.52,1162.033124989594
24,Colorado,CO,Gilpin,047,6243,0.0,0.0
25,Colorado,CO,Grand,049,15734,17522083.7,1113.644572263887
26,Colorado,CO,Gunnison,051,17462,3911428.43,223.996588592372
27,Colorado,CO,Hinsdale,053,820,0.0,0.0
28,Colorado,CO,Huerfano,055,6897,48441912.849999994,7023.620827896186
29,Colorado,CO,Jackson,057,1392,1065934.0,765.7571839080459
30,Colorado,CO,Jefferson,059,582881,232261298.11000007,398.4712112935575
31,Colorado,CO,Kiowa,061,1406,9750.0,6.934566145092461
32,Colorado,CO,Kit Carson,063,7097,2928794.0,412.6805692546146
33,Colorado,CO,Lake,065,8127,11864502.0,1459.8870431893688
34,Colorado,CO,La Plata,067,56221,35546596.089999996,632.265454011846
35,Colorado,CO,Larimer,069,356899,265030845.86,742.59341118916
36,Colorado,CO,Las Animas,071,14506,1574641.0,108.55101337377637
37,Colorado,CO,Lincoln,073,5701,14718285.0,2581.7023329240483
38,Colorado,CO,Logan,075,22409,3316812.0,148.01249497969565
39,Colorado,CO,Mesa,077,154210,45028601.93000001,291.9953435574866
40,Colorado,CO,Mineral,079,769,3399614.0,4420.8244473342
41,Colorado,CO,Moffat,081,13283,1935797.32,145.7349484303245
42,Colorado,CO,Montezuma,083,26183,20347723.339999996,777.1349096742159
43,Colorado,CO,Montrose,085,42758,21920548.19,512.6654237803452
44,Colorado,CO,Morgan,087,29068,22518053.0,774.6681230218798
45,Colorado,CO,Otero,089,18278,42345953.86,2316.7717397964766
46,Colorado,CO,Ouray,091,4952,163852.0,33.08804523424879
47,Colorado,CO,Park,093,18845,3137190.0,166.47333510214912
48,Colorado,CO,Phillips,095,4265,301117.0,70.6018757327081
49,Colorado,CO,Pitkin,097,17767,6845474.0,385.29149546912817
50,Colorado,CO,Prowers,099,12172,22533554.0,1851.2614196516595
51,Colorado,CO,Pueblo,101,168424,67719704.22,402.07870742886996
52,Colorado,CO,Rio Blanco,103,6324,1606733.0,254.0691018342821
53,Colorado,CO,Rio Grande,105,11267,55062812.88999999,4887.087324931214
54,Colorado,CO,Routt,107,25638,13839630.24,539.8092768546688
55,Colorado,CO,Saguache,109,6824,20386932.0,2987.533997655334
56,Colorado,CO,San Juan,111,728,99056.0,136.06593406593407
57,Colorado,CO,San Miguel,113,8179,8122838.56,993.1334588580511
58,Colorado,CO,Sedgwick,115,2248,380212.0,169.13345195729536
59,Colorado,CO,Summit,117,31011,60432676.42,1948.7496830157042
60,Colorado,CO,Teller,119,25388,18175485.52,715.9085205608949
61,Colorado,CO,Washington,121,4908,8356490.0,1702.6263243683782
62,Colorado,CO,Weld,123,324492,218664505.72,673.8671699764556
63,Colorado,CO,Yuma,125,10019,15810095.0,1578.0112785707156
