,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,California,CA,Alameda,001,1671329,2073437670.2200017,1240.592169596771
1,California,CA,Alpine,003,1129,162647.0,144.06288751107175
2,California,CA,Amador,005,39752,25952914.060000002,652.8706495270678
3,California,CA,Butte,007,219186,116970246.43000002,533.6574709607366
4,California,CA,Calaveras,009,45905,26251645.100000005,571.8689707003596
5,California,CA,Colusa,011,21547,21156605.0,981.8817004687428
6,California,CA,Contra Costa,013,1153526,282222724.04,244.6609127492575
7,California,CA,Del Norte,015,27812,20741893.779999997,745.7893635840643
8,California,CA,El Dorado,017,192843,126922319.38999996,658.1639955300424
9,California,CA,Fresno,019,999101,479764641.88000005,480.1963383882111
10,California,CA,Glenn,021,28393,6305886.58,222.09300109181842
11,California,CA,Humboldt,023,135558,199851131.09000003,1474.285037327196
12,California,CA,Imperial,025,181215,188740506.98999998,1041.528057776674
13,California,CA,Inyo,027,18039,11047621.830000002,612.4298370197905
14,California,CA,Kern,029,900202,567762797.2699997,630.705994065776
15,California,CA,Kings,031,152940,78271733.52999997,511.7806560088922
16,California,CA,Lake,033,64386,21024415.7,326.5370686174013
17,California,CA,Lassen,035,30573,17657877.47,577.5644349589506
18,California,CA,Los Angeles,037,10039107,10640856643.66999,1059.9405548391894
19,California,CA,Madera,039,157327,53227387.76,338.3232869119731
20,California,CA,Marin,041,258826,226037746.48000002,873.3193206246668
21,California,CA,Mariposa,043,17203,7121382.25,413.96164913096555
22,California,CA,Mendocino,045,86749,136661485.51000002,1575.3666959849684
23,California,CA,Merced,047,277680,185794316.76000005,669.095061797753
24,California,CA,Modoc,049,8841,5734864.68,648.6669697997963
25,California,CA,Mono,051,14444,2959868.9699999997,204.9203108557186
26,California,CA,Monterey,053,434061,268259820.39000005,618.0233202015386
27,California,CA,Napa,055,137744,330226455.12999994,2397.3926641450803
28,California,CA,Nevada,057,99755,13247949.86,132.80487053280538
29,California,CA,Orange,059,3175692,970327800.4299995,305.5484601245963
30,California,CA,Placer,061,398329,61929409.850000024,155.47301313738146
31,California,CA,Plumas,063,18807,26310610.09,1398.9796400276493
32,California,CA,Riverside,065,2470546,711696090.1899997,288.07238974299594
33,California,CA,Sacramento,067,1552058,30820491664.340004,19857.822107382588
34,California,CA,San Benito,069,62808,18265762.52,290.819044070819
35,California,CA,San Bernardino,071,2180085,846080931.5599998,388.095386904639
36,California,CA,San Diego,073,3338330,4887042172.129997,1463.9182381999374
37,California,CA,"San Francisco, City and County of[k]",,881549,,
38,California,CA,San Joaquin,077,762148,269333077.53,353.38684550769665
39,California,CA,San Luis Obispo,079,283111,166050601.89000002,586.5211944784908
40,California,CA,San Mateo,081,766573,377530414.0000002,492.4911443528538
41,California,CA,Santa Barbara,083,446499,354748515.98,794.5113336871975
42,California,CA,Santa Clara,085,1927852,2126900943.7400002,1103.2490791513044
43,California,CA,Santa Cruz,087,273213,316333430.77000004,1157.8271559918453
44,California,CA,Shasta,089,180080,76978604.79999998,427.4689293647267
45,California,CA,Sierra,091,3005,22679734.51,7547.332615640599
46,California,CA,Siskiyou,093,43539,96382071.03999998,2213.6951018626974
47,California,CA,Solano,095,447643,413793776.18000007,924.3834398840148
48,California,CA,Sonoma,097,494336,294926907.98,596.612239408014
49,California,CA,Stanislaus,099,550660,238436815.0299999,433.0018796171865
50,California,CA,Sutter,101,96971,104849362.78000002,1081.244524445453
51,California,CA,Tehama,103,65084,50071151.059999995,769.331188310491
52,California,CA,Trinity,105,12285,14439963.049999997,1175.4141676841675
53,California,CA,Tulare,107,466195,226338962.98999998,485.5027681335063
54,California,CA,Tuolumne,109,54478,11521801.8,211.49458129887296
55,California,CA,Ventura,111,846006,257611574.49999997,304.5032476129011
56,California,CA,Yolo,113,220500,326586789.8500001,1481.1192283446717
57,California,CA,Yuba,115,78668,81754880.05,1039.239335562109
