,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Florida,FL,Alachua,001,269043,695591676.6000001,2585.429379690236
1,Florida,FL,Baker,003,29210,2884764.0,98.75946593632318
2,Florida,FL,Bay,005,174705,200748336.12,1149.0703535674422
3,Florida,FL,Bradford,007,28201,33542149.38,1189.3957441225489
4,Florida,FL,Brevard,009,601942,435306783.13000005,723.1706429024724
5,Florida,FL,Broward,011,1952778,655488012.2899998,335.6694986782931
6,Florida,FL,Calhoun,013,14105,1365751.0,96.82743707904999
7,Florida,FL,Charlotte,015,188910,70560612.47,373.51443793340746
8,Florida,FL,Citrus,017,149657,27883344.62,186.31500444349413
9,Florida,FL,Clay,019,219252,41060655.0,187.27607957966177
10,Florida,FL,Collier,021,384902,153526215.44000003,398.8709215332735
11,Florida,FL,Columbia,023,71686,28677937.88,400.0493524537566
12,Florida,FL,DeSoto,027,38001,6433487.0,169.29783426751928
13,Florida,FL,Dixie,029,16826,12910624.0,767.3020325686438
14,Florida,FL,Duval,031,957755,732919510.0,765.2473858136998
15,Florida,FL,Escambia,033,318316,85902784.85,269.8663744518026
16,Florida,FL,Flagler,035,115081,36227442.67,314.79951225658453
17,Florida,FL,Franklin,037,12125,4225797.0,348.5193402061856
18,Florida,FL,Gadsden,039,45660,17389633.0,380.85048182216383
19,Florida,FL,Gilchrist,041,18582,5822055.0,313.3169195996125
20,Florida,FL,Glades,043,13811,9288339.0,672.5319672724639
21,Florida,FL,Gulf,045,13639,3028156.0,222.02184910917222
22,Florida,FL,Hamilton,047,14428,357593.0,24.78465483781536
23,Florida,FL,Hardee,049,26937,213517.0,7.92653227902142
24,Florida,FL,Hendry,051,42022,61274553.78,1458.154152110799
25,Florida,FL,Hernando,053,193920,143928671.13,742.2064311571781
26,Florida,FL,Highlands,055,106221,16592237.8,156.20487285941576
27,Florida,FL,Hillsborough,057,1471968,1030914669.6700002,700.3648650446206
28,Florida,FL,Holmes,059,19617,11664270.0,594.6000917571494
29,Florida,FL,Indian River,061,159923,34107916.400000006,213.27711711261048
30,Florida,FL,Jackson,063,46414,28140986.0,606.3038307407248
31,Florida,FL,Jefferson,065,14246,9226705.0,647.6698722448407
32,Florida,FL,Lafayette,067,8422,111451.0,13.23331750178105
33,Florida,FL,Lake,069,367118,101860340.97000001,277.4594026171422
34,Florida,FL,Lee,071,770577,160506528.84,208.29395224617397
35,Florida,FL,Leon,073,293582,19423030013.469997,66158.7904349381
36,Florida,FL,Levy,075,41503,23366564.0,563.0090354914103
37,Florida,FL,Liberty,077,8354,,
38,Florida,FL,Madison,079,18493,4946881.0,267.5001892608014
39,Florida,FL,Manatee,081,403253,193464947.74,479.760715332558
40,Florida,FL,Marion,083,365579,71292643.45,195.0129614939589
41,Florida,FL,Martin,085,161000,28082793.490000002,174.427288757764
42,Florida,FL,Miami-Dade,086,2716940,1927610853.8499994,709.4786244267445
43,Florida,FL,Monroe,087,74228,72928795.56,982.4971110632107
44,Florida,FL,Nassau,089,88625,45108119.0,508.977365303244
45,Florida,FL,Okaloosa,091,210738,74179589.14000002,351.99911330657034
46,Florida,FL,Okeechobee,093,42168,6888283.0,163.35332479605387
47,Florida,FL,Orange,095,1393452,434165185.62,311.5752717854652
48,Florida,FL,Osceola,097,375751,250793753.88,667.4466704812495
49,Florida,FL,Palm Beach,099,1496770,564783415.9400002,377.3348049065656
50,Florida,FL,Pasco,101,553947,252395675.54,455.63145127602456
51,Florida,FL,Pinellas,103,974996,150174445.04000002,154.02570373622046
52,Florida,FL,Polk,105,724777,194911615.79000002,268.92632601476043
53,Florida,FL,Putnam,107,74521,97416989.17,1307.2421085331653
54,Florida,FL,St. Johns,109,264672,137107170.21,518.0267282145448
55,Florida,FL,St. Lucie,111,328297,78348920.03,238.65256164387733
56,Florida,FL,Santa Rosa,113,184313,26718691.970000003,144.963686609192
57,Florida,FL,Sarasota,115,433742,133124298.12,306.9204691268081
58,Florida,FL,Seminole,117,471826,341058589.94,722.8482320601239
59,Florida,FL,Sumter,119,132420,52306336.0,395.00329255399487
60,Florida,FL,Suwannee,121,44417,25807877.0,581.0360222437355
61,Florida,FL,Taylor,123,21569,16826384.0,780.1188743103528
62,Florida,FL,Union,125,15237,3103186.0,203.66121940014438
63,Florida,FL,Volusia,127,553284,207891250.41000003,375.7405788166656
64,Florida,FL,Wakulla,129,33739,21284994.0,630.8721064643291
65,Florida,FL,Walton,131,74071,32019165.21,432.27666981679744
66,Florida,FL,Washington,133,25473,60662709.0,2381.4513013779297
