,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Georgia,GA,Appling,001,18386,1749194.37,95.13729848797999
1,Georgia,GA,Atkinson,003,8165,1893415.6099999999,231.8941347213717
2,Georgia,GA,Bacon,005,11164,1482268.02,132.7721264779649
3,Georgia,GA,Baker,007,3038,7151687.42,2354.077491770902
4,Georgia,GA,Baldwin,009,44890,106255336.99000001,2367.0157493873917
5,Georgia,GA,Banks,011,19234,5462428.930000001,283.9985925964438
6,Georgia,GA,Barrow,013,83240,11386262.05,136.78834754925518
7,Georgia,GA,Bartow,015,107738,82149016.81,762.4887858508605
8,Georgia,GA,Ben Hill,017,16700,4123460.1900000004,246.91378383233535
9,Georgia,GA,Berrien,019,19397,3668498.52,189.1271083157189
10,Georgia,GA,Bibb,021,153159,53712966.71,350.7006882390196
11,Georgia,GA,Bleckley,023,12873,492716.08999999997,38.27515652916958
12,Georgia,GA,Brantley,025,19109,4142752.6,216.79588675493224
13,Georgia,GA,Brooks,027,15457,3897927.5999999996,252.17879277997022
14,Georgia,GA,Bryan,029,39627,25693481.839999996,648.383219522043
15,Georgia,GA,Bulloch,031,79608,13328355.99,167.424831549593
16,Georgia,GA,Burke,033,22383,25118185.120000005,1122.1992190501721
17,Georgia,GA,Butts,035,24936,22373081.419999998,897.2201403593198
18,Georgia,GA,Calhoun,037,6189,7341785.41,1186.2635983195994
19,Georgia,GA,Camden,039,54666,12267736.85,224.41255716533126
20,Georgia,GA,Candler,043,10803,1384736.24,128.1807127649727
21,Georgia,GA,Carroll,045,119992,32576033.5,271.4850448363224
22,Georgia,GA,Catoosa,047,67580,4356866.95,64.46976842261024
23,Georgia,GA,Charlton,049,13392,2375243.3,177.3628509557945
24,Georgia,GA,Chatham,051,289430,185995300.9799999,642.6261997028639
25,Georgia,GA,Chattahoochee,053,10907,6586384.6899999995,603.8676712203172
26,Georgia,GA,Chattooga,055,24789,1011594.3200000001,40.80819395699706
27,Georgia,GA,Cherokee,057,258773,1364508.4300000002,5.2729938208391145
28,Georgia,GA,Clarke,059,128331,289005619.67,2252.0327876351
29,Georgia,GA,Clay,061,3045,346619.0,113.83218390804598
30,Georgia,GA,Clayton,063,292256,408196946.91999996,1396.710236641848
31,Georgia,GA,Clinch,065,6618,3057806.73,462.04393019038986
32,Georgia,GA,Cobb,067,760141,626239334.23,823.8462788219555
33,Georgia,GA,Coffee,069,43273,7673989.010000001,177.3389644813163
34,Georgia,GA,Colquitt,071,45600,56655960.660000004,1242.455277631579
35,Georgia,GA,Columbia,073,156714,7236695.9,46.17772438965249
36,Georgia,GA,Cook,075,17270,1107894.5599999998,64.1513931673422
37,Georgia,GA,Coweta,077,148509,26435380.259999998,178.0052404904753
38,Georgia,GA,Crawford,079,12404,0.0,0.0
39,Georgia,GA,Crisp,081,22372,35167088.11,1571.9241958698374
40,Georgia,GA,Dade,083,16116,2179829.72,135.25873169520975
41,Georgia,GA,Dawson,085,26108,6200784.62,237.50515627393904
42,Georgia,GA,Decatur,087,26404,124121580.43,4700.862764353886
43,Georgia,GA,DeKalb,089,759297,1463254286.2500005,1927.1171705538156
44,Georgia,GA,Dodge,091,20605,3530078.4800000004,171.32145013346278
45,Georgia,GA,Dooly,093,13390,1111077.04,82.9781209858103
46,Georgia,GA,Dougherty,095,87956,36646985.79000001,416.6513460139161
47,Georgia,GA,Douglas,097,146343,12274674.370000001,83.87606082969462
48,Georgia,GA,Early,099,10190,19725274.85,1935.7482679097157
49,Georgia,GA,Echols,101,4006,17917540.13,4472.676018472292
50,Georgia,GA,Effingham,103,64296,6100408.0,94.88005474679606
51,Georgia,GA,Elbert,105,19194,2212125.79,115.25090080233406
52,Georgia,GA,Emanuel,107,22646,10341400.54,456.65462068356436
53,Georgia,GA,Evans,109,10654,4712843.37,442.3543617420687
54,Georgia,GA,Fannin,111,26188,19876922.65,759.0088074690698
55,Georgia,GA,Fayette,113,114421,22568345.95,197.23954475140053
56,Georgia,GA,Floyd,115,98498,14065256.579999998,142.79738248492353
57,Georgia,GA,Forsyth,117,244252,-4562217.42,-18.6783216514092
58,Georgia,GA,Franklin,119,23349,13319447.519999998,570.4504484132082
59,Georgia,GA,Fulton,121,1063937,3733276718.5299993,3508.9264858069596
60,Georgia,GA,Gilmer,123,31369,6880004.2,219.3249450094042
61,Georgia,GA,Glascock,125,2971,133090.0,44.796364860316395
62,Georgia,GA,Glynn,127,85292,34239070.79000001,401.4335551986119
63,Georgia,GA,Gordon,129,57963,5996949.79,103.46168745579077
64,Georgia,GA,Grady,131,24633,89536.02,3.6347996589940323
65,Georgia,GA,Greene,133,18324,12484310.0,681.3092119624536
66,Georgia,GA,Gwinnett,135,936250,115380082.57000001,123.23640327903873
67,Georgia,GA,Habersham,137,45328,2367631.2800000003,52.23330568302154
68,Georgia,GA,Hall,139,204441,44179049.25,216.09681644092916
69,Georgia,GA,Hancock,141,8457,1798133.6800000002,212.62074967482562
70,Georgia,GA,Haralson,143,29792,5374426.79,180.39832136143932
71,Georgia,GA,Harris,145,35236,3194232.88,90.65253944829152
72,Georgia,GA,Hart,147,26205,9424253.899999999,359.6357145582904
73,Georgia,GA,Heard,149,11923,1343078.0,112.64597836115071
74,Georgia,GA,Henry,151,234561,52586976.28,224.19317908774264
75,Georgia,GA,Houston,153,157863,49790086.160000004,315.40060786884834
76,Georgia,GA,Irwin,155,9416,12566144.68,1334.552323704333
77,Georgia,GA,Jackson,157,72977,43765694.279999994,599.719011195308
78,Georgia,GA,Jasper,159,14219,2230001.72,156.83252830719462
79,Georgia,GA,Jeff Davis,161,15115,905977.0,59.9389348329474
80,Georgia,GA,Jefferson,163,15362,707500.0,46.05520114568416
81,Georgia,GA,Jenkins,165,8676,1537146.26,177.17222913785156
82,Georgia,GA,Johnson,167,9643,35812378.51,3713.82127035155
83,Georgia,GA,Jones,169,28735,7112859.819999998,247.5329674612841
84,Georgia,GA,Lamar,171,19077,648092.0,33.97242753053415
85,Georgia,GA,Lanier,173,10423,62075.0,5.955579007963158
86,Georgia,GA,Laurens,175,47546,15012279.879999999,315.74222605476797
87,Georgia,GA,Lee,177,29992,272000.0,9.069085089357161
88,Georgia,GA,Liberty,179,61435,22726127.310000002,369.921499308212
89,Georgia,GA,Lincoln,181,7921,519055.0,65.52897361444262
90,Georgia,GA,Long,183,19559,1050057.0,53.68664042128943
91,Georgia,GA,Lowndes,185,117406,44520549.699999996,379.2016566444645
92,Georgia,GA,Lumpkin,187,33610,14188353.330000002,422.14678161261537
93,Georgia,GA,McDuffie,189,21312,4789652.9,224.73971940690691
94,Georgia,GA,McIntosh,191,14378,5393196.57,375.10060995966063
95,Georgia,GA,Macon,193,12947,15164650.69,1171.2868378775006
96,Georgia,GA,Madison,195,29880,30736315.700000003,1028.6584906291835
97,Georgia,GA,Marion,197,8359,1152265.55,137.84729632731188
98,Georgia,GA,Meriwether,199,21167,32017911.11,1512.6333967969008
99,Georgia,GA,Miller,201,5718,857114.7,149.89763903462747
100,Georgia,GA,Mitchell,205,21863,4024364.33,184.0719173946851
101,Georgia,GA,Monroe,207,27578,10135537.09,367.52255747334834
102,Georgia,GA,Montgomery,209,9172,25309807.0,2759.4643480157
103,Georgia,GA,Morgan,211,19276,10851882.020000001,562.9737507781698
104,Georgia,GA,Murray,213,40096,6267659.56,156.3163298084597
105,Georgia,GA,Muscogee,215,195769,69160958.93000002,353.2783991847536
106,Georgia,GA,Newton,217,111744,8371678.139999999,74.91836823453608
107,Georgia,GA,Oconee,219,40280,4702166.840000001,116.73701191658394
108,Georgia,GA,Oglethorpe,221,15259,4050.0,0.2654171308735828
109,Georgia,GA,Paulding,223,168667,52630095.66,312.03552360568455
110,Georgia,GA,Peach,225,27546,15640367.159999998,567.7908647353518
111,Georgia,GA,Pickens,227,32591,19501567.439999998,598.3727851247276
112,Georgia,GA,Pierce,229,19465,1233852.63,63.38826765990238
113,Georgia,GA,Pike,231,18962,726348.45,38.3054767429596
114,Georgia,GA,Polk,233,42613,662948.4,15.557421444160234
115,Georgia,GA,Pulaski,235,11137,720422.68,64.68731974499417
116,Georgia,GA,Putnam,237,22119,1744042.59,78.84816628238167
117,Georgia,GA,Quitman,239,2299,857175.02,372.84689865158765
118,Georgia,GA,Rabun,241,17137,3281837.02,191.50592402404155
119,Georgia,GA,Randolph,243,6778,8894568.76,1312.2703983475951
120,Georgia,GA,Richmond,245,202518,244148445.89000002,1205.5641764682646
121,Georgia,GA,Rockdale,247,90896,58537208.120000005,644.0020256116882
122,Georgia,GA,Schley,249,5257,696000.0,132.3949020353814
123,Georgia,GA,Screven,251,13966,9463277.88,677.5940054417872
124,Georgia,GA,Seminole,253,8090,808475.53,99.93517058096415
125,Georgia,GA,Spalding,255,66703,2611934.9699999997,39.15768361243122
126,Georgia,GA,Stephens,257,25925,7206064.18,277.9581168756027
127,Georgia,GA,Stewart,259,6621,5265845.73,795.3248346171274
128,Georgia,GA,Sumter,261,29524,8517569.19,288.4964500067741
129,Georgia,GA,Talbot,263,6195,3688875.21,595.4600823244552
130,Georgia,GA,Taliaferro,265,1537,770123.87,501.05651919323356
131,Georgia,GA,Tattnall,267,25286,4321001.46,170.88513248437872
132,Georgia,GA,Taylor,269,8020,4656435.12,580.6028827930174
133,Georgia,GA,Telfair,271,15860,561713.0,35.416960907944514
134,Georgia,GA,Terrell,273,8531,3877640.35,454.53526550228577
135,Georgia,GA,Thomas,275,44451,4362358.95,98.13860093136263
136,Georgia,GA,Tift,277,40644,4915915.24,120.95057671489027
137,Georgia,GA,Toombs,279,26830,3147501.32,117.31275885203131
138,Georgia,GA,Towns,281,12037,925300.57,76.87136080418709
139,Georgia,GA,Treutlen,283,6901,7834773.3100000005,1135.3098550934649
140,Georgia,GA,Troup,285,69922,49453104.8,707.2610165613112
141,Georgia,GA,Turner,287,7985,20536201.830000002,2571.8474427050724
142,Georgia,GA,Twiggs,289,8120,1463990.43,180.29438793103446
143,Georgia,GA,Union,291,24511,144959687.0,5914.06662314879
144,Georgia,GA,Upson,293,26320,2569797.79,97.63669414893617
145,Georgia,GA,Walker,295,69761,40004011.86999999,573.4437847794611
146,Georgia,GA,Walton,297,94593,13700800.65,144.83947702261267
147,Georgia,GA,Ware,299,35734,35073535.97,981.5172096602676
148,Georgia,GA,Warren,301,5254,2904879.73,552.8891758660069
149,Georgia,GA,Washington,303,20374,-5556527.220000001,-272.7263777363307
150,Georgia,GA,Wayne,305,29927,5868840.28,196.10519865004846
151,Georgia,GA,Webster,307,2607,1758799.85,674.6451285001918
152,Georgia,GA,Wheeler,309,7855,409155.0,52.088478676002545
153,Georgia,GA,White,311,30798,5059369.73,164.27591824144426
154,Georgia,GA,Whitfield,313,104628,12008475.790000001,114.77306065298009
155,Georgia,GA,Wilcox,315,8635,1015937.36,117.65342906774754
156,Georgia,GA,Wilkes,317,9777,630267.0,64.46425283829396
157,Georgia,GA,Wilkinson,319,8954,9547139.63,1066.2429785570696
158,Georgia,GA,Worth,321,20247,3127913.13,154.4877329974811
