,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Iowa,IA,Adair,001,7152,922613.63,129.00078719239374
1,Iowa,IA,Adams,003,3602,778284.2,216.07001665741254
2,Iowa,IA,Allamakee,005,13687,8318177.350000001,607.7429202893256
3,Iowa,IA,Appanoose,007,12426,628647.5599999999,50.591305327539025
4,Iowa,IA,Audubon,009,5496,225547.2,41.03842794759826
5,Iowa,IA,Benton,011,25645,3153837.7600000002,122.98061064534998
6,Iowa,IA,Black Hawk,013,131228,52886155.089999996,403.0096861188161
7,Iowa,IA,Boone,015,26234,6698004.2,255.3176869711062
8,Iowa,IA,Bremer,017,25062,401951.27999999997,16.0382762748384
9,Iowa,IA,Buchanan,019,21175,617800.31,29.175929634002365
10,Iowa,IA,Buena Vista,021,19620,29831128.0,1520.444852191641
11,Iowa,IA,Butler,023,14439,7042167.17,487.71848258189624
12,Iowa,IA,Calhoun,025,9668,531840.0,55.010343400910216
13,Iowa,IA,Carroll,027,20165,21608360.4,1071.5775055789734
14,Iowa,IA,Cass,029,12836,964800.0,75.16360236833904
15,Iowa,IA,Cedar,031,18627,706429.0,37.925001342137755
16,Iowa,IA,Cerro Gordo,033,42450,18520129.080000002,436.2810148409894
17,Iowa,IA,Cherokee,035,11235,7899703.6,703.1333867378727
18,Iowa,IA,Chickasaw,037,11933,7000.0,0.5866085644850415
19,Iowa,IA,Clarke,039,9395,2822429.24,300.4182267163385
20,Iowa,IA,Clay,041,16016,8634000.0,539.085914085914
21,Iowa,IA,Clayton,043,17549,762185.7,43.431859365205995
22,Iowa,IA,Clinton,045,46429,1042453.78,22.452643390984083
23,Iowa,IA,Crawford,047,16820,4355643.0,258.9561831153389
24,Iowa,IA,Dallas,049,93453,5101961.0,54.593870715760865
25,Iowa,IA,Davis,051,9000,22000.0,2.4444444444444446
26,Iowa,IA,Decatur,053,7870,11172567.83,1419.6401308767472
27,Iowa,IA,Delaware,055,17011,592322.31,34.819958262300865
28,Iowa,IA,Des Moines,057,38967,24045224.55,617.0663522980984
29,Iowa,IA,Dickinson,059,17258,979561.0,56.75982153204311
30,Iowa,IA,Dubuque,061,97311,45165284.970000006,464.13339673829273
31,Iowa,IA,Emmet,063,9208,0.0,0.0
32,Iowa,IA,Fayette,065,19650,157300.0,8.005089058524174
33,Iowa,IA,Floyd,067,15642,461668.0,29.5146400716021
34,Iowa,IA,Franklin,069,10070,2360630.0,234.42204568023834
35,Iowa,IA,Fremont,071,6960,6837764.7,982.4374568965518
36,Iowa,IA,Greene,073,8888,32000.0,3.6003600360036003
37,Iowa,IA,Grundy,075,12232,6500.0,0.5313930673642904
38,Iowa,IA,Guthrie,077,10689,3191330.0,298.56207315932267
39,Iowa,IA,Hamilton,079,14773,1329728.0,90.01069518716578
40,Iowa,IA,Hancock,081,10630,875236.0,82.33640639698964
41,Iowa,IA,Hardin,083,16846,284843.67,16.90868277335866
42,Iowa,IA,Harrison,085,14049,3755104.1,267.28621965976225
43,Iowa,IA,Henry,087,19954,4700669.0,235.57527312819485
44,Iowa,IA,Howard,089,9158,1001510.0,109.35903035597292
45,Iowa,IA,Humboldt,091,9558,309743.0,32.40667503661854
46,Iowa,IA,Ida,093,6860,1028149.68,149.87604664723034
47,Iowa,IA,Iowa,095,16184,15333748.47,947.4634497034108
