,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Idaho,ID,Ada,001,481587,974691843.5299996,2023.9164336454257
1,Idaho,ID,Adams,003,4294,11372689.640000002,2648.5071355379605
2,Idaho,ID,Bannock,005,87808,71592310.16,815.3278762755101
3,Idaho,ID,Bear Lake,007,6125,7479680.250000001,1221.1722857142859
4,Idaho,ID,Benewah,009,9298,23798072.059999995,2559.48290600129
5,Idaho,ID,Bingham,011,46811,56178963.33000001,1200.1231191386644
6,Idaho,ID,Blaine,013,23021,9380152.79,407.46070066461056
7,Idaho,ID,Boise,015,7831,15649316.49,1998.3803460605286
8,Idaho,ID,Bonner,017,45739,33281031.779999994,727.6291956535996
9,Idaho,ID,Bonneville,019,119062,32393978.060000002,272.0765488568981
10,Idaho,ID,Boundary,021,12245,4614983.309999999,376.88716292364217
11,Idaho,ID,Butte,023,2597,138148.52000000002,53.1954254909511
12,Idaho,ID,Camas,025,1106,745870.3200000001,674.3854611211574
13,Idaho,ID,Canyon,027,229849,103520593.49000001,450.38522460397917
14,Idaho,ID,Caribou,029,7155,2905303.7199999997,406.05223200559044
15,Idaho,ID,Cassia,031,24030,26726918.89,1112.231331252601
16,Idaho,ID,Clark,033,845,4372459.54,5174.508331360947
17,Idaho,ID,Clearwater,035,8756,1584706.8,180.98524440383738
18,Idaho,ID,Custer,037,4315,10551983.02,2445.4190081112397
19,Idaho,ID,Elmore,039,27511,16507655.21,600.0383559303551
20,Idaho,ID,Franklin,041,13876,72879.90000000001,5.252226866532142
21,Idaho,ID,Fremont,043,13099,17824688.990000002,1360.7671570348882
22,Idaho,ID,Gem,045,18112,59529.0,3.286715989399293
23,Idaho,ID,Gooding,047,15179,8773113.020000001,577.9770090256276
24,Idaho,ID,Idaho,049,16667,17651236.65,1059.0530179396412
25,Idaho,ID,Jefferson,051,29871,347055.45,11.618474440092397
26,Idaho,ID,Jerome,053,24412,17034201.21,697.7798300016386
27,Idaho,ID,Kootenai,055,165697,107991830.74000004,651.7428241911443
28,Idaho,ID,Latah,057,40108,112393247.31999998,2802.26506731824
29,Idaho,ID,Lemhi,059,8027,2106130.55,262.380783605332
30,Idaho,ID,Lewis,061,3838,36542974.92,9521.358759770714
31,Idaho,ID,Lincoln,063,5366,11426127.65,2129.3566250465897
32,Idaho,ID,Madison,065,39907,3422566.0099999993,85.76355050492393
33,Idaho,ID,Minidoka,067,21039,-1344519.9900000002,-63.90607871096536
34,Idaho,ID,Nez Perce,069,40408,59610753.33999999,1475.2215734508015
35,Idaho,ID,Oneida,071,4531,1708408.05,377.04878613992497
36,Idaho,ID,Owyhee,073,11823,57807937.70999999,4889.447493022075
37,Idaho,ID,Payette,075,23951,74507913.40000004,3110.8477057325385
38,Idaho,ID,Power,077,7681,26954094.01,3509.1907316755633
39,Idaho,ID,Shoshone,079,12882,26562647.31,2061.9971518397765
40,Idaho,ID,Teton,081,12142,488508.19,40.23292620655576
41,Idaho,ID,Twin Falls,083,86878,76898896.92000002,885.13659292341
42,Idaho,ID,Valley,085,11392,35495651.6,3115.8402036516854
43,Idaho,ID,Washington,087,10194,3518818.5599999996,345.1852619187757
