,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Indiana,IN,Adams,001,35777,2749201.17,76.84269698409592
1,Indiana,IN,Allen,003,379299,88066267.30000003,232.1816490420487
2,Indiana,IN,Bartholomew,005,83779,32034463.15,382.368650258418
3,Indiana,IN,Benton,007,8748,591773.3999999999,67.64670781893003
4,Indiana,IN,Blackford,009,11758,29321.12,2.4937166184725292
5,Indiana,IN,Boone,011,67843,7741637.86,114.11107792992645
6,Indiana,IN,Brown,013,15092,511930.75,33.920669891333155
7,Indiana,IN,Carroll,015,20257,334612.86,16.51838179394777
8,Indiana,IN,Cass,017,37689,7469219.829999999,198.18036641991029
9,Indiana,IN,Clark,019,118302,45813938.99000001,387.26259057327866
10,Indiana,IN,Clay,021,26225,1353293.66,51.603190085795994
11,Indiana,IN,Clinton,023,32399,10503511.43,324.1924574832556
12,Indiana,IN,Crawford,025,10577,17296150.400000002,1635.2605086508463
13,Indiana,IN,Daviess,027,33351,4612254.05,138.29432550748103
14,Indiana,IN,Dearborn,029,49458,33462348.079999994,676.581100731934
15,Indiana,IN,Decatur,031,26559,5919022.43,222.86315109755637
16,Indiana,IN,DeKalb,033,43475,14594129.660000002,335.6901589419207
17,Indiana,IN,Delaware,035,114135,52949939.85999999,463.92377325097465
18,Indiana,IN,Dubois,037,42736,6903076.589999999,161.52837397042305
19,Indiana,IN,Elkhart,039,206341,29737549.830000002,144.1184729646556
20,Indiana,IN,Fayette,041,23102,205244.0,8.884252445675699
21,Indiana,IN,Floyd,043,78522,19235481.550000004,244.9693277043377
22,Indiana,IN,Fountain,045,16346,12134372.489999996,742.3450685182917
23,Indiana,IN,Franklin,047,22758,2868697.81,126.05228095614729
24,Indiana,IN,Fulton,049,19974,3985217.25,199.52023881045358
25,Indiana,IN,Gibson,051,33659,2084545.0599999998,61.93128316349267
26,Indiana,IN,Grant,053,65769,21342888.93,324.51290015052683
27,Indiana,IN,Greene,055,31922,8906643.71,279.0127094167032
28,Indiana,IN,Hamilton,057,338011,41902950.300000004,123.96919123933837
29,Indiana,IN,Hancock,059,78168,5142780.910000001,65.79138407020777
30,Indiana,IN,Harrison,061,40515,1560456.7999999996,38.51553251882018
31,Indiana,IN,Hendricks,063,170311,17740614.64,104.16599421059122
32,Indiana,IN,Henry,065,47972,39965327.190000005,833.0969563495373
33,Indiana,IN,Howard,067,82544,15617794.92,189.20569538670284
34,Indiana,IN,Huntington,069,36520,5679669.049999997,155.52215361445775
35,Indiana,IN,Jackson,071,44231,10474711.660000002,236.8183323913093
36,Indiana,IN,Jasper,073,33562,6129240.970000001,182.6244255407902
37,Indiana,IN,Jay,075,20436,4549473.380000001,222.6205412018008
38,Indiana,IN,Jefferson,077,32308,5725346.33,177.2114129627337
39,Indiana,IN,Jennings,079,27735,2221834.0300000003,80.10939354606094
40,Indiana,IN,Johnson,081,158167,15391830.909999998,97.3137943439529
41,Indiana,IN,Knox,083,36594,16776254.78,458.4427714925944
42,Indiana,IN,Kosciusko,085,79456,35007338.260000005,440.58772477849385
