,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Kansas,KS,Allen,001,12369,10670240.8,862.6599401730132
1,Kansas,KS,Anderson,003,7858,2173782.47,276.63304530414865
2,Kansas,KS,Atchison,005,16073,6451249.91,401.3718602625521
3,Kansas,KS,Barber,007,4427,204770.0,46.25480009035464
4,Kansas,KS,Barton,009,25779,12318525.589999998,477.85118080608237
5,Kansas,KS,Bourbon,011,14534,4968287.8100000005,341.83898513829644
6,Kansas,KS,Brown,013,9564,33107702.9,3461.700428690924
7,Kansas,KS,Butler,015,66911,10995402.62,164.3287743420364
8,Kansas,KS,Chase,017,2648,72697.0,27.453549848942597
9,Kansas,KS,Chautauqua,019,3250,1274848.0,392.26092307692306
10,Kansas,KS,Cherokee,021,19939,2050367.3,102.83200260795427
11,Kansas,KS,Cheyenne,023,2657,918351.0,345.6345502446368
12,Kansas,KS,Clark,025,1994,0.0,0.0
13,Kansas,KS,Clay,027,8002,27145.0,3.392276930767308
14,Kansas,KS,Cloud,029,8786,7330252.149999999,834.3105110402913
15,Kansas,KS,Coffey,031,8179,965818.4400000001,118.08514977381098
16,Kansas,KS,Comanche,033,1700,0.0,0.0
17,Kansas,KS,Cowley,035,34908,58228916.919999994,1668.0679763950955
18,Kansas,KS,Crawford,037,38818,49692260.77,1280.1344935339278
19,Kansas,KS,Decatur,039,2827,2879348.65,1018.5173859214715
20,Kansas,KS,Dickinson,041,18466,5466260.670000001,296.01758204267304
21,Kansas,KS,Doniphan,043,7600,3967273.0,522.0096052631579
22,Kansas,KS,Douglas,045,122259,140228905.39,1146.9822703441055
23,Kansas,KS,Edwards,047,2798,119235.0,42.61436740528949
24,Kansas,KS,Elk,049,2530,1638576.37,647.6586442687748
25,Kansas,KS,Ellis,051,28553,17816908.89,623.9942874654153
26,Kansas,KS,Ellsworth,053,6102,32000.0,5.244182235332678
27,Kansas,KS,Finney,055,36467,17172917.169999998,470.91664162119173
28,Kansas,KS,Ford,057,33619,35369354.85,1052.0644531366192
29,Kansas,KS,Franklin,059,25544,18718214.24,732.783207015346
30,Kansas,KS,Geary,061,31670,51101453.29,1613.560255446795
31,Kansas,KS,Gove,063,2636,213951.65,81.1652693474962
32,Kansas,KS,Graham,065,2482,483897.27,194.9626390008058
33,Kansas,KS,Grant,067,7150,622893.47,87.11796783216784
34,Kansas,KS,Gray,069,5988,960725.11,160.44173513694054
35,Kansas,KS,Greeley,071,1232,32000.0,25.974025974025974
36,Kansas,KS,Greenwood,073,5982,5819700.119999999,972.8686258776328
37,Kansas,KS,Hamilton,075,2539,811936.0,319.78574241827494
38,Kansas,KS,Harper,077,5436,339243.0,62.40673289183223
39,Kansas,KS,Harvey,079,34429,9543472.07,277.19283365767234
40,Kansas,KS,Haskell,081,3968,0.0,0.0
41,Kansas,KS,Hodgeman,083,1794,3720280.5100000002,2073.734955406912
42,Kansas,KS,Jackson,085,13171,8409176.03,638.4614706552273
43,Kansas,KS,Jefferson,087,19043,212359.0,11.15155175129969
44,Kansas,KS,Jewell,089,2879,3274793.89,1137.4761688086141
45,Kansas,KS,Johnson,091,602401,55001466.86,91.30374428329303
46,Kansas,KS,Kearny,093,3838,22000.0,5.732152162584679
47,Kansas,KS,Kingman,095,7152,2131131.82,297.9770441834452
48,Kansas,KS,Kiowa,097,2475,0.0,0.0
49,Kansas,KS,Labette,099,19618,975059.38,49.702282597614435
50,Kansas,KS,Lane,101,1535,1199995.0,781.7557003257328
51,Kansas,KS,Leavenworth,103,81758,27443706.509999998,335.6699834878544
52,Kansas,KS,Lincoln,105,2962,204018.38,68.87858879135719
53,Kansas,KS,Linn,107,9703,2340925.21,241.25788003710193
54,Kansas,KS,Logan,109,2794,835433.06,299.0096850393701
55,Kansas,KS,Lyon,111,33195,15809892.01,476.27329447205904
56,Kansas,KS,McPherson,113,28542,12608576.550000004,441.7551870927056
57,Kansas,KS,Marion,115,11884,3940475.53,331.57821693032645
58,Kansas,KS,Marshall,117,9707,2804680.2,288.93377974657466
59,Kansas,KS,Meade,119,4033,65379.100000000006,16.21103396974957
60,Kansas,KS,Miami,121,34237,8783978.58,256.56390980518154
61,Kansas,KS,Mitchell,123,5979,2036843.11,340.66618330824554
62,Kansas,KS,Montgomery,125,31829,10230679.9,321.42636903452825
63,Kansas,KS,Morris,127,5620,384930.47,68.49296619217081
