,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita,county_name
0,Kentucky,KY,Adair,001,19202,775449.8,40.38380377044058,0
1,Kentucky,KY,Allen,003,21315,1790031.7999999998,83.97991086089607,0
2,Kentucky,KY,Anderson,005,22747,534523.4,23.49863278674111,0
3,Kentucky,KY,Ballard,007,7888,2700081.09,342.3023694219067,0
4,Kentucky,KY,Barren,009,44249,1952479.0,44.124816380031184,0
5,Kentucky,KY,Bath,011,12500,912589.44,73.0071552,0
6,Kentucky,KY,Bell,013,26032,3152739.6,121.11015673017825,0
7,Kentucky,KY,Boone,015,133581,55495992.45999999,415.44824832872933,0
8,Kentucky,KY,Bourbon,017,19788,2507725.0,126.72958358601173,0
9,Kentucky,KY,Boyd,019,46718,6129792.27,131.20836230146838,0
10,Kentucky,KY,Boyle,021,30060,1043173.0,34.703027278775785,0
11,Kentucky,KY,Bracken,023,8303,17947.0,2.1615078887149224,0
12,Kentucky,KY,Breathitt,025,12630,12443986.24,985.2720696753761,0
13,Kentucky,KY,Breckinridge,027,20477,740878.38,36.18100209991698,0
14,Kentucky,KY,Bullitt,029,81676,2595132.9499999997,31.773506905333264,0
15,Kentucky,KY,Butler,031,12879,4982874.9,386.89920801304453,0
16,Kentucky,KY,Caldwell,033,12747,15089387.249999998,1183.7598846787478,0
17,Kentucky,KY,Calloway,035,39001,32200263.41,825.6266098305172,0
18,Kentucky,KY,Campbell,037,93584,5463461.470000001,58.38029438792957,0
19,Kentucky,KY,Carlisle,039,4760,0.0,0.0,0
20,Kentucky,KY,Carroll,041,10631,1115984.6800000002,104.97457247671905,0
21,Kentucky,KY,Carter,043,26797,11327785.15,422.72587043325746,0
22,Kentucky,KY,Casey,045,16159,6556500.75,405.7491645522619,0
23,Kentucky,KY,Christian,047,70461,37197647.400000006,527.9182441350536,0
24,Kentucky,KY,Clark,049,36263,3259802.73,89.89335493478201,0
25,Kentucky,KY,Clay,051,19901,3885005.46,195.21659514597258,0
26,Kentucky,KY,Clinton,053,10218,465449.84,45.551951458211,0
27,Kentucky,KY,Crittenden,055,8806,22000.0,2.4982966159436746,0
28,Kentucky,KY,Cumberland,057,6614,24924291.78,3768.414239491987,0
29,Kentucky,KY,Daviess,059,101511,131890179.80000004,1299.2698308557697,0
30,Kentucky,KY,Edmonson,061,12150,3552792.22,292.41088230452675,0
31,Kentucky,KY,Elliott,063,7517,2121234.38,282.1916163363044,0
32,Kentucky,KY,Estill,065,14106,2534557.0,179.6793563022827,0
33,Kentucky,KY,Fayette,067,323152,731373950.1299993,2263.250575982817,0
34,Kentucky,KY,Fleming,069,14581,1018964.36,69.88302311226938,0
35,Kentucky,KY,Floyd,071,35589,56097985.370000005,1576.2731565933295,0
36,Kentucky,KY,Franklin,073,50991,1764575949.6699998,34605.63530171991,0
37,Kentucky,KY,Fulton,075,5969,1504101.0,251.98542469425365,0
38,Kentucky,KY,Gallatin,077,8869,13901293.89,1567.4026260006765,0
39,Kentucky,KY,Garrard,079,17666,235911.0,13.353956753085022,0
40,Kentucky,KY,Grant,081,25069,2422072.46,96.61623758426742,0
41,Kentucky,KY,Graves,083,37266,2036952.12,54.659800354210276,0
42,Kentucky,KY,Grayson,085,26427,6761180.34,255.84365762288567,0
43,Kentucky,KY,Green,087,10941,876007.57,80.0664994059044,0
44,Kentucky,KY,Greenup,089,35098,7190232.17,204.86159239842726,0
45,Kentucky,KY,Hancock,091,8722,572000.0,65.58128869525338,0
46,Kentucky,KY,Hardin,093,110958,23510407.97,211.88565015591485,0
47,Kentucky,KY,Harlan,095,26010,15368972.690000001,590.8870699730874,0
48,Kentucky,KY,Harrison,097,18886,999988.0,52.94863920364291,0
49,Kentucky,KY,Hart,099,19035,383173.0,20.129918571053324,0
50,Kentucky,KY,Henderson,101,45210,12001732.42,265.4663220526432,0
51,Kentucky,KY,Henry,103,16126,1253706.49,77.74441833064616,0
52,Kentucky,KY,Hickman,105,4380,2321067.6300000004,529.9241164383562,0
53,Kentucky,KY,Hopkins,107,44686,18199980.150000002,407.2859542138478,0
