,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Louisiana,LA,Acadia,001,62045,5548783.03,89.43159045853817
1,Louisiana,LA,Allen,003,25627,5230049.87,204.0835786475202
2,Louisiana,LA,Ascension,005,126604,15965477.63,126.10563355028277
3,Louisiana,LA,Assumption,007,21891,1680048.3,76.7460737289297
4,Louisiana,LA,Avoyelles,009,40144,36638770.74999999,912.6836077620565
5,Louisiana,LA,Beauregard,011,37497,27119434.41,723.2427770221618
6,Louisiana,LA,Bienville,013,13241,7461744.399999999,563.5332980892681
7,Louisiana,LA,Bossier,015,127039,136242560.61999997,1072.4467338376403
8,Louisiana,LA,Caddo,017,240204,85389294.74000005,355.4865645035056
9,Louisiana,LA,Calcasieu,019,203436,83643228.85999998,411.15254360093587
10,Louisiana,LA,Caldwell,021,9918,2932706.0,295.695301472071
11,Louisiana,LA,Cameron,023,6973,11200302.35,1606.2386849275777
12,Louisiana,LA,Catahoula,025,9494,27581809.25,2905.183194649252
13,Louisiana,LA,Claiborne,027,15670,8208092.050000002,523.8093203573709
14,Louisiana,LA,Concordia,029,19259,10420762.120000001,541.0853169946519
15,Louisiana,LA,De Soto,031,27463,13765612.120000001,501.2421119324182
16,Louisiana,LA,East Baton Rouge,033,440059,9582154252.489992,21774.7035113246
17,Louisiana,LA,East Carroll,035,6861,1282861.17,186.978745080892
18,Louisiana,LA,East Feliciana,037,19135,106792866.15999998,5581.022532532009
19,Louisiana,LA,Evangeline,039,33395,9738272.150000002,291.6086884264112
20,Louisiana,LA,Franklin,041,20015,2246262.96,112.22897626779915
21,Louisiana,LA,Grant,043,22389,5232676.46,233.7163991245701
22,Louisiana,LA,Iberia,045,69830,37283995.64,533.9251845911499
23,Louisiana,LA,Iberville,047,32511,16514376.330000004,507.9627304604597
24,Louisiana,LA,Jackson,049,15744,6225735.47,395.4354338160569
25,Louisiana,LA,Jefferson,051,432493,169395337.81000006,391.6718601457135
26,Louisiana,LA,Jefferson Davis,053,31368,103503870.13999999,3299.664312037745
27,Louisiana,LA,Lafayette,055,244390,97265675.7,397.99368100167766
28,Louisiana,LA,Lafourche,057,97614,27985706.179999996,286.6976681623537
29,Louisiana,LA,La Salle,059,14892,4593330.32,308.4428095621811
30,Louisiana,LA,Lincoln,061,46742,22909011.349999998,490.1161984938599
31,Louisiana,LA,Livingston,063,140789,60509136.46,429.7859666593271
32,Louisiana,LA,Madison,065,10951,11517811.37,1051.7588685964752
33,Louisiana,LA,Morehouse,067,24874,22100966.790000003,888.5167962531158
34,Louisiana,LA,Natchitoches,069,38158,39077665.45000001,1024.1015108234187
35,Louisiana,LA,Orleans,071,390144,911132093.6999999,2335.3738458107773
36,Louisiana,LA,Ouachita,073,153279,151385435.34000006,987.64628774979
37,Louisiana,LA,Plaquemines,075,23197,33996930.89999999,1465.5744665258435
38,Louisiana,LA,Pointe Coupee,077,21730,29669771.16,1365.3829341923608
39,Louisiana,LA,Rapides,079,129648,73546218.36,567.2761504998149
40,Louisiana,LA,Red River,081,8442,12838848.540000001,1520.8301990049752
41,Louisiana,LA,Richland,083,20122,33896057.64,1684.5272656793559
42,Louisiana,LA,Sabine,085,23884,7176681.35,300.48071302964325
43,Louisiana,LA,St. Bernard,087,47244,5052151.75,106.9374259165185
44,Louisiana,LA,St. Charles,089,53100,28231647.139999997,531.6694376647833
45,Louisiana,LA,St. Helena,091,10132,3957063.0700000003,390.5510333596526
46,Louisiana,LA,St. James,093,21096,3198478.71,151.61541097838452
47,Louisiana,LA,St. John the Baptist,095,42837,70063613.22999999,1635.5863676261174
48,Louisiana,LA,St. Landry,097,82124,25717531.579999994,313.15488261653104
49,Louisiana,LA,St. Martin,099,53431,26642916.769999992,498.64155209522545
50,Louisiana,LA,St. Mary,101,49348,54182682.68000001,1097.9711980222098
51,Louisiana,LA,St. Tammany,103,260419,129328083.89000008,496.6153924636838
52,Louisiana,LA,Tangipahoa,105,134758,49745305.29000001,369.1454703245819
53,Louisiana,LA,Tensas,107,4334,9683509.16,2234.312219658514
54,Louisiana,LA,Terrebonne,109,110461,54277720.25,491.3745145345416
55,Louisiana,LA,Union,111,22108,2208142.3099999996,99.87978605029852
56,Louisiana,LA,Vermilion,113,59511,12863446.810000002,216.15242240930252
57,Louisiana,LA,Vernon,115,47429,30107274.39,634.7861938898143
58,Louisiana,LA,Washington,117,46194,6748192.9799999995,146.08375503312118
59,Louisiana,LA,Webster,119,38340,22691668.509999998,591.8536387584767
60,Louisiana,LA,West Baton Rouge,121,26465,23493731.640000004,887.7283823918384
61,Louisiana,LA,West Carroll,123,10830,11885380.41,1097.4497146814404
62,Louisiana,LA,West Feliciana,125,15568,3048551.55,195.82165660328877
63,Louisiana,LA,Winn,127,13904,20231942.049999997,1455.1166606731874
