,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Massachusetts,MA,Barnstable,001,212990,461388390.5000001,2166.2443800178416
1,Massachusetts,MA,Berkshire,003,124944,43728915.03000001,349.9881149154822
2,Massachusetts,MA,Bristol,005,565217,192207310.20999998,340.0593227203003
3,Massachusetts,MA,Dukes,007,17332,21152113.37,1220.4081104315717
4,Massachusetts,MA,Essex,009,789034,232475360.49999994,294.6328808391019
5,Massachusetts,MA,Franklin,011,70180,52603029.410000004,749.5444487033343
6,Massachusetts,MA,Hampden,013,466372,294881116.3300001,632.2873507200263
7,Massachusetts,MA,Hampshire,015,160830,251361605.4,1562.9024771497855
8,Massachusetts,MA,Middlesex,017,1611699,4692250833.069999,2911.3692029777267
9,Massachusetts,MA,Nantucket,019,11399,5447283.339999999,477.87379068339317
10,Massachusetts,MA,Norfolk,021,706775,156010794.98000002,220.73615362739204
11,Massachusetts,MA,Plymouth,023,521202,109395257.99,209.89032657203924
12,Massachusetts,MA,Suffolk,025,803907,9068011701.139982,11279.926286423657
13,Massachusetts,MA,Worcester,027,830622,992633964.0000001,1195.048968122684
