,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Maine,ME,Androscoggin,001,108277,25962345.51,239.77710418648468
1,Maine,ME,Aroostook,003,67055,69981161.18000002,1043.6382250391473
2,Maine,ME,Cumberland,005,295003,239455986.9,811.7069551835066
3,Maine,ME,Franklin,007,30199,19689660.12,651.9970899698666
4,Maine,ME,Hancock,009,54987,293611615.85999995,5339.6551159364935
5,Maine,ME,Kennebec,011,122302,640199557.5499997,5234.5796270706915
6,Maine,ME,Knox,013,39772,6277175.04,157.82900130745247
7,Maine,ME,Lincoln,015,34634,3873131.97,111.83033926199688
8,Maine,ME,Oxford,017,57975,42958287.50000001,740.979517033204
9,Maine,ME,Penobscot,019,152148,277030703.8700001,1820.79753838368
10,Maine,ME,Piscataquis,021,16785,1197965.79,71.37121179624666
11,Maine,ME,Sagadahoc,023,35856,17399460.099999998,485.2593736055332
12,Maine,ME,Somerset,025,50484,20986642.05,415.70878000950796
13,Maine,ME,Waldo,027,39715,18583772.479999997,467.9283011456628
14,Maine,ME,Washington,029,31379,150925636.59999996,4809.765658561457
15,Maine,ME,York,031,207641,80285111.81000002,386.65346347782963
