,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Michigan,MI,Alcona,001,10405,19454412.58,1869.7176914944737
1,Michigan,MI,Alger,003,9108,13704460.290000003,1504.661867588933
2,Michigan,MI,Allegan,005,118081,38777439.26999999,328.39694167562936
3,Michigan,MI,Alpena,007,28405,61439889.13,2162.9955687378983
4,Michigan,MI,Antrim,009,23324,24202734.950000003,1037.675139341451
5,Michigan,MI,Arenac,011,14883,23040401.100000005,1548.1019350937315
6,Michigan,MI,Baraga,013,8209,15206094.690000001,1852.3687038616154
7,Michigan,MI,Barry,015,61550,40434394.51,656.9357353371242
8,Michigan,MI,Bay,017,103126,5230944.96,50.723822896262824
9,Michigan,MI,Benzie,019,17766,2020529.0199999998,113.7301035686142
10,Michigan,MI,Berrien,021,153401,35048074.28,228.47357109797198
11,Michigan,MI,Branch,023,43517,11452856.33,263.18120113978443
12,Michigan,MI,Calhoun,025,134159,65459118.95999999,487.92193561371204
13,Michigan,MI,Cass,027,51787,16159914.93,312.0457823391971
14,Michigan,MI,Charlevoix,029,26143,25841642.400000002,988.4727230998739
15,Michigan,MI,Cheboygan,031,25276,14932603.849999998,590.7819215856938
16,Michigan,MI,Chippewa,033,37349,90602524.04,2425.835338027792
17,Michigan,MI,Clare,035,30950,9710826.420000002,313.7585273021002
18,Michigan,MI,Clinton,037,79595,27749923.010000005,348.6390226773039
19,Michigan,MI,Crawford,039,14029,7171780.04,511.2110656497256
20,Michigan,MI,Delta,041,35784,15242297.069999998,425.95285798122063
21,Michigan,MI,Dickinson,043,25239,14924176.079999998,591.3140805895637
22,Michigan,MI,Eaton,045,110268,391686534.5199999,3552.1323912649173
23,Michigan,MI,Emmet,047,33415,7727467.18,231.25743468502168
24,Michigan,MI,Genesee,049,405813,174930319.16000006,431.0613981316519
25,Michigan,MI,Gladwin,051,25449,16606397.88,652.5363621360368
26,Michigan,MI,Gogebic,053,13975,8161172.680000002,583.9837338103758
27,Michigan,MI,Grand Traverse,055,93088,9729297.520000001,104.51720436576144
28,Michigan,MI,Gratiot,057,40711,16251810.03,399.1994799931222
29,Michigan,MI,Hillsdale,059,45605,4904164.18,107.53566889595439
30,Michigan,MI,Houghton,061,35684,79725441.16000001,2234.206959982065
31,Michigan,MI,Huron,063,30981,4506634.390000001,145.46445853910464
32,Michigan,MI,Ingham,065,292406,7066893226.419997,24168.085560556203
33,Michigan,MI,Ionia,067,64697,6088528.840000001,94.1083642209067
34,Michigan,MI,Iosco,069,25127,11647495.430000002,463.5450085565329
35,Michigan,MI,Iron,071,11066,2991895.8000000003,270.3683173685162
36,Michigan,MI,Isabella,073,69872,45765286.41,654.9874972807419
37,Michigan,MI,Jackson,075,158510,122203413.57000001,770.950814270393
38,Michigan,MI,Kalamazoo,077,265066,166734579.57999998,629.0304285725064
39,Michigan,MI,Kalkaska,079,18038,777772.53,43.11855693535869
