,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Minnesota,MN,Aitkin,001,15886,4683608.0,294.8261362205716
1,Minnesota,MN,Anoka,003,356921,35196438.37000001,98.61128476609673
2,Minnesota,MN,Becker,005,34423,34611949.419999994,1005.4890456961913
3,Minnesota,MN,Beltrami,007,47188,69126366.36,1464.914095956599
4,Minnesota,MN,Benton,009,40889,8883835.809999999,217.26713321431188
5,Minnesota,MN,Big Stone,011,4991,244694.0,49.027048687637745
6,Minnesota,MN,Blue Earth,013,67653,49136451.51,726.3011471775087
7,Minnesota,MN,Brown,015,25008,7508613.399999999,300.24845649392194
8,Minnesota,MN,Carlton,017,35871,36805373.970000006,1026.0481717822197
9,Minnesota,MN,Carver,019,105089,17304479.0,164.6649887238436
10,Minnesota,MN,Cass,021,29779,23342276.189999998,783.850236408207
11,Minnesota,MN,Chippewa,023,11800,7240000.0,613.5593220338983
12,Minnesota,MN,Chisago,025,56579,1137296.0,20.10102688276569
13,Minnesota,MN,Clay,027,64222,27914734.95,434.6600066955249
14,Minnesota,MN,Clearwater,029,8818,675932.6,76.65373100476299
15,Minnesota,MN,Cook,031,5463,2830961.21,518.206335346879
16,Minnesota,MN,Cottonwood,033,11196,9141647.690000001,816.5101545194714
17,Minnesota,MN,Crow Wing,035,65055,13638812.910000002,209.65049435093385
18,Minnesota,MN,Dakota,037,429021,54909520.569999985,127.98795529822546
19,Minnesota,MN,Dodge,039,20934,183146.0,8.748734116747874
20,Minnesota,MN,Douglas,041,38141,3549914.88,93.0734611048478
21,Minnesota,MN,Faribault,043,13653,6005467.999999999,439.864352157035
22,Minnesota,MN,Fillmore,045,21067,12161343.73,577.2698405088528
23,Minnesota,MN,Freeborn,047,30281,2359378.17,77.9161246326079
24,Minnesota,MN,Goodhue,049,46340,12535000.559999999,270.500659473457
25,Minnesota,MN,Grant,051,5972,31241691.03,5231.36152545211
26,Minnesota,MN,Hennepin,053,1265843,1729102573.8399994,1365.9692188051752
27,Minnesota,MN,Houston,055,18600,1158273.99,62.272795161290325
28,Minnesota,MN,Hubbard,057,21491,1694753.77,78.85876739100088
29,Minnesota,MN,Isanti,059,40596,626716.9700000001,15.437899546753377
30,Minnesota,MN,Itasca,061,45130,18950922.17,419.91850587192556
31,Minnesota,MN,Jackson,063,9846,12237607.900000002,1242.901472679261
32,Minnesota,MN,Kanabec,065,16337,1740842.02,106.55824325151497
33,Minnesota,MN,Kandiyohi,067,43199,13749452.93,318.2817410125234
34,Minnesota,MN,Kittson,069,4298,7760170.12,1805.530507212657
35,Minnesota,MN,Koochiching,071,12229,1887338.0,154.33297898438138
36,Minnesota,MN,Lac qui Parle,073,6623,452583.0,68.33504454174846
37,Minnesota,MN,Lake,075,10641,56286082.07,5289.5481693449865
38,Minnesota,MN,Lake of the Woods,077,3740,655447.0,175.25320855614973
39,Minnesota,MN,Le Sueur,079,28887,758310.75,26.25093467649808
40,Minnesota,MN,Lincoln,081,5639,1860289.35,329.89702961518003
41,Minnesota,MN,Lyon,083,25474,12317068.38,483.51528538902414
42,Minnesota,MN,McLeod,085,35893,3668679.17,102.21155016298442
43,Minnesota,MN,Mahnomen,087,5527,16458823.440000001,2977.8945974307944
44,Minnesota,MN,Marshall,089,9336,5000274.4399999995,535.5906640959726
45,Minnesota,MN,Martin,091,19683,1180419.53,59.97152517400803
46,Minnesota,MN,Meeker,093,23222,850417.0,36.62117819309276
47,Minnesota,MN,Mille Lacs,095,26277,30283289.64,1152.4637378696198
48,Minnesota,MN,Morrison,097,33386,12802517.360000001,383.4696387707423
49,Minnesota,MN,Mower,099,40062,15166602.450000001,378.578264939344
50,Minnesota,MN,Murray,101,8194,34599.59,4.2225518672199165
51,Minnesota,MN,Nicollet,103,34274,33025190.11,963.5639292174826
52,Minnesota,MN,Nobles,105,21629,6637313.11,306.8710116047899
53,Minnesota,MN,Norman,107,6375,1569778.16,246.239711372549
54,Minnesota,MN,Olmsted,109,158293,1095252193.7499998,6919.144837421742
55,Minnesota,MN,Otter Tail,111,58746,23276209.820000004,396.2177819766453
56,Minnesota,MN,Pennington,113,14119,310032.97,21.958564345916848
57,Minnesota,MN,Pine,115,29579,2405153.51,81.31287433652253
58,Minnesota,MN,Pipestone,117,9126,2570196.0800000005,281.63445978522907
59,Minnesota,MN,Polk,119,31364,58502694.54,1865.2816777196786
60,Minnesota,MN,Pope,121,11249,406937.03,36.17539603520313
61,Minnesota,MN,Ramsey,123,550321,1885039398.4599998,3425.3452048168247
62,Minnesota,MN,Red Lake,125,4055,5730151.32,1413.1076004932183
63,Minnesota,MN,Redwood,127,15170,3997697.96,263.5265629531971
64,Minnesota,MN,Renville,129,14548,10470624.75,719.7294989001924
65,Minnesota,MN,Rice,131,66972,7462609.360000001,111.42879651197518
66,Minnesota,MN,Rock,133,9315,25212608.67,2706.667597423511
67,Minnesota,MN,Roseau,135,15165,753162.0,49.66449060336301
68,Minnesota,MN,St. Louis,137,199070,151857844.39000008,762.8364112623703
69,Minnesota,MN,Scott,139,149013,33998494.08,228.157906222947
70,Minnesota,MN,Sherburne,141,97238,9870840.709999999,101.51217332730002
71,Minnesota,MN,Sibley,143,14865,10597267.36,712.9005960309452
72,Minnesota,MN,Stearns,145,161075,8301410.56,51.53754809871178
73,Minnesota,MN,Steele,147,36649,2252338.39,61.45702174684166
74,Minnesota,MN,Stevens,149,9805,2109386.73,215.13378174400816
75,Minnesota,MN,Swift,151,9266,2490558.61,268.78465465141375
76,Minnesota,MN,Todd,153,24664,2430944.69,98.56246715861174
77,Minnesota,MN,Traverse,155,3259,94000.0,28.843203436637005
78,Minnesota,MN,Wabasha,157,21627,1958834.67,90.57357331113884
79,Minnesota,MN,Wadena,159,13682,1079925.0599999998,78.93035082590264
80,Minnesota,MN,Waseca,161,18612,890282.97,47.833815280464215
81,Minnesota,MN,Washington,163,262440,48685366.5,185.51046524919983
82,Minnesota,MN,Watonwan,165,10897,20712140.68,1900.7195264751767
83,Minnesota,MN,Wilkin,167,6207,378181.0,60.92814564201708
84,Minnesota,MN,Winona,169,50484,26665013.580000002,528.1874173995722
85,Minnesota,MN,Wright,171,138377,11343445.97,81.97493781481027
86,Minnesota,MN,Yellow Medicine,173,9709,1834878.02,188.98733340199814
