,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Missouri,MO,Adair,001,25343,23609365.15,931.5931480093121
1,Missouri,MO,Andrew,003,17712,16664625.270000001,940.8663770325204
2,Missouri,MO,Atchison,005,5143,16528113.859999998,3213.710647482014
3,Missouri,MO,Audrain,007,25388,90008567.85,3545.3193575705054
4,Missouri,MO,Barry,009,35789,913935.47,25.536770236664896
5,Missouri,MO,Barton,011,11754,3510123.78,298.6322766717713
6,Missouri,MO,Bates,013,16172,1921735.27,118.83102090032155
7,Missouri,MO,Benton,015,19443,4929141.59,253.5175430746284
8,Missouri,MO,Bollinger,017,12133,526884.29,43.42572240995632
9,Missouri,MO,Boone,019,180463,275638131.1899999,1527.394153870876
10,Missouri,MO,Buchanan,021,87364,38264630.84,437.99082963234287
11,Missouri,MO,Butler,023,42478,5024943.16,118.29519186402374
12,Missouri,MO,Caldwell,025,9020,5571605.88,617.69466518847
13,Missouri,MO,Callaway,027,44743,84192963.21,1881.701343450372
14,Missouri,MO,Camden,029,46305,4897037.739999999,105.75613303099016
15,Missouri,MO,Cape Girardeau,031,78871,38170382.11999999,483.9596571616943
16,Missouri,MO,Carroll,033,8679,9777354.64,1126.5531328494067
17,Missouri,MO,Carter,035,5982,4344737.77,726.301867268472
18,Missouri,MO,Cass,037,105780,166579924.77999994,1574.777129703157
19,Missouri,MO,Cedar,039,14349,405423.3,28.25446372569517
20,Missouri,MO,Chariton,041,7426,16215808.679999996,2183.653202262321
21,Missouri,MO,Christian,043,88595,69998605.70000002,790.0965709125799
22,Missouri,MO,Clark,045,6797,1341768.83,197.4060364866853
23,Missouri,MO,Clay,047,249948,26338662.109999996,105.37656676588729
24,Missouri,MO,Clinton,049,20387,108571859.02999999,5325.543681267473
25,Missouri,MO,Cole,051,76745,3626061166.8899984,47248.174693986555
26,Missouri,MO,Cooper,053,17709,2744637.5800000005,154.98546388841834
27,Missouri,MO,Crawford,055,23920,9709293.88,405.90693478260874
28,Missouri,MO,Dade,057,7561,993586.87,131.40945245337917
29,Missouri,MO,Dallas,059,16878,555256.8,32.898258087451126
30,Missouri,MO,Daviess,061,8278,2039515.56,246.3778158975598
31,Missouri,MO,DeKalb,063,12547,22671916.590000004,1806.9591607555594
32,Missouri,MO,Dent,065,15573,1856175.69,119.19191485262955
33,Missouri,MO,Douglas,067,13185,1456703.92,110.48190519529768
34,Missouri,MO,Dunklin,069,29131,4561207.359999999,156.57572208300434
35,Missouri,MO,Franklin,071,103967,15770563.78,151.68816816874585
36,Missouri,MO,Gasconade,073,14706,806452.0,54.83829729362165
37,Missouri,MO,Gentry,075,6571,1094333.01,166.53979759549537
38,Missouri,MO,Greene,077,293086,82111094.69999997,280.1604126433879
39,Missouri,MO,Grundy,079,9850,8304435.24,843.0898720812183
40,Missouri,MO,Harrison,081,8352,7888793.82,944.5394899425288
41,Missouri,MO,Henry,083,21824,52532551.24000001,2407.1000384897366
42,Missouri,MO,Hickory,085,9544,551664.9099999999,57.802274727577526
43,Missouri,MO,Holt,087,4403,24029092.810000006,5457.436477401773
44,Missouri,MO,Howard,089,10001,739738.59,73.96646235376463
45,Missouri,MO,Howell,091,40117,27876571.679999996,694.8817628436822
