,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Mississippi,MS,Adams,001,30693,6383739.65,207.98682598638126
1,Mississippi,MS,Alcorn,003,36953,4545961.57,123.02009498552216
2,Mississippi,MS,Amite,005,12297,9845422.0,800.6360901032772
3,Mississippi,MS,Attala,007,18174,41281586.86,2271.4640068229337
4,Mississippi,MS,Benton,009,8259,23296323.0,2820.719578641482
5,Mississippi,MS,Bolivar,011,30628,56240597.36,1836.2477915632753
6,Mississippi,MS,Calhoun,013,14361,15043088.0,1047.4958568344823
7,Mississippi,MS,Carroll,015,9947,230032.0,23.125766562782747
8,Mississippi,MS,Chickasaw,017,17103,2367836.0,138.44565280944863
9,Mississippi,MS,Choctaw,019,8210,14800126.02,1802.6950085261876
10,Mississippi,MS,Claiborne,021,8988,16454809.0,1830.7531152647975
11,Mississippi,MS,Clarke,023,15541,4619703.0,297.2590566887588
12,Mississippi,MS,Clay,025,19316,3879197.0,200.82817353489335
13,Mississippi,MS,Coahoma,027,22124,32878838.279999997,1486.1163568974869
14,Mississippi,MS,Copiah,029,28065,3732857.0,133.00755389274897
15,Mississippi,MS,Covington,031,18636,84353421.32,4526.369463404164
16,Mississippi,MS,DeSoto,033,184945,4209402.0,22.76029089729379
17,Mississippi,MS,Forrest,035,74897,61456388.879999995,820.5454007503638
18,Mississippi,MS,Franklin,037,7713,16226853.0,2103.831583041618
19,Mississippi,MS,George,039,24500,13573110.0,554.0044897959184
20,Mississippi,MS,Greene,041,13586,276162.5,20.32699102016782
21,Mississippi,MS,Grenada,043,20758,37975715.1,1829.4496146064168
22,Mississippi,MS,Hancock,045,47632,2773079.48,58.21883355727242
23,Mississippi,MS,Harrison,047,208080,117078088.19,562.6590166762784
24,Mississippi,MS,Hinds,049,231840,2855391979.9300003,12316.217994867151
25,Mississippi,MS,Holmes,051,17010,120236466.83,7068.575357436802
26,Mississippi,MS,Humphreys,053,8064,60164.0,7.460813492063492
27,Mississippi,MS,Issaquena,055,1327,7263960.0,5473.9713639789
28,Mississippi,MS,Itawamba,057,23390,9232135.0,394.70436083796494
29,Mississippi,MS,Jackson,059,143617,32984856.42,229.67236761664708
30,Mississippi,MS,Jasper,061,16383,284665.5,17.375663797839223
31,Mississippi,MS,Jefferson,063,6990,6033630.25,863.1802932761087
32,Mississippi,MS,Jefferson Davis,065,11128,16398304.0,1473.607476635514
33,Mississippi,MS,Jones,067,68098,25849961.88,379.59942847073336
34,Mississippi,MS,Kemper,069,9742,26820845.0,2753.1148634777255
35,Mississippi,MS,Lafayette,071,54019,102125933.22999999,1890.5557901849347
36,Mississippi,MS,Lamar,073,63343,39965222.78,630.9335329870704
37,Mississippi,MS,Lauderdale,075,74125,44313072.0,597.8154738617201
