,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Montana,MT,Beaverhead,001,9453,22190074.650000002,2347.410837829261
1,Montana,MT,Big Horn,003,13319,141923756.51999995,10655.736655905095
2,Montana,MT,Blaine,005,6681,53961778.58,8076.901448884897
3,Montana,MT,Broadwater,007,6237,24172057.69,3875.590458553792
4,Montana,MT,Carbon,009,10725,9020198.71,841.0441687645689
5,Montana,MT,Carter,011,1252,7125720.549999999,5691.470087859424
6,Montana,MT,Cascade,013,81366,71929865.92999998,884.0285368581468
7,Montana,MT,Chouteau,015,5635,12545387.13,2226.3331197870452
8,Montana,MT,Custer,017,11402,27173914.419999998,2383.2585879670232
9,Montana,MT,Daniels,019,1690,6905818.739999999,4086.2832781065085
10,Montana,MT,Dawson,021,8613,54266171.99,6300.495993265993
11,Montana,MT,Deer Lodge,023,9140,16146775.4,1766.6056236323852
12,Montana,MT,Fallon,025,2846,1325648.4400000002,465.7935488404779
13,Montana,MT,Fergus,027,11050,19408459.65,1756.4216877828053
14,Montana,MT,Flathead,029,103806,97039946.79999994,934.8202107777964
15,Montana,MT,Gallatin,031,114434,188999202.04000002,1651.6000667633748
16,Montana,MT,Garfield,033,1258,28433419.33,22602.082138314785
17,Montana,MT,Glacier,035,13753,141550234.59,10292.316919217625
18,Montana,MT,Golden Valley,037,821,33250.0,40.4993909866017
19,Montana,MT,Granite,039,3379,15285362.670000002,4523.635001479728
20,Montana,MT,Hill,041,16484,86380749.13999996,5240.278399660274
21,Montana,MT,Jefferson,043,12221,20195914.88,1652.5582914655101
22,Montana,MT,Judith Basin,045,2007,17342801.72,8641.156811160936
23,Montana,MT,Lake,047,30458,52639284.25000001,1728.258068487754
24,Montana,MT,Lewis and Clark,049,69432,372115943.48000026,5359.429995967281
25,Montana,MT,Liberty,051,2337,6201940.64,2653.8042961061187
26,Montana,MT,Lincoln,053,19980,33194798.2,1661.4013113113112
27,Montana,MT,McCone,055,1664,3701522.44,2224.4726201923077
28,Montana,MT,Madison,057,8600,9698317.18,1127.7113
29,Montana,MT,Meagher,059,1862,2009241.8,1079.0772287862515
30,Montana,MT,Mineral,061,4397,27909715.409999996,6347.444942005913
31,Montana,MT,Missoula,063,119600,216707398.98,1811.9347740802675
32,Montana,MT,Musselshell,065,4633,5149005.18,1111.376037124973
33,Montana,MT,Park,067,16606,34102269.59,2053.61132060701
34,Montana,MT,Petroleum,069,487,1568807.0800000003,3221.369774127311
35,Montana,MT,Phillips,071,3954,20203674.59,5109.679967121901
36,Montana,MT,Pondera,073,5911,4570020.550000001,773.1383099306379
37,Montana,MT,Powder River,075,1682,102790.68999999999,61.11218192627823
38,Montana,MT,Powell,077,6890,13881176.389999999,2014.6845268505078
39,Montana,MT,Prairie,079,1077,16796520.65,15595.655199628596
40,Montana,MT,Ravalli,081,43806,19113756.110000003,436.3273549285487
41,Montana,MT,Richland,083,10803,9261230.730000002,857.2832296584285
42,Montana,MT,Roosevelt,085,11004,151841997.31999996,13798.800192657212
43,Montana,MT,Rosebud,087,8937,39804875.78,4453.941566521205
44,Montana,MT,Sanders,089,12113,23872241.439999998,1970.79513250227
45,Montana,MT,Sheridan,091,3309,10852787.16,3279.7785312783317
46,Montana,MT,Silver Bow,093,34915,75007013.97000001,2148.2747807532583
47,Montana,MT,Stillwater,095,9642,14190318.230000002,1471.7193766853352
48,Montana,MT,Sweet Grass,097,3737,969868.64,259.5313459994648
49,Montana,MT,Teton,099,6147,8274944.140000001,1346.1760435985034
50,Montana,MT,Toole,101,4736,13652235.11,2882.650994510135
51,Montana,MT,Treasure,103,696,9778565.169999998,14049.66260057471
52,Montana,MT,Valley,105,7396,28363659.11,3834.9998796646837
53,Montana,MT,Wheatland,107,2126,1876819.1400000001,882.7935747883349
54,Montana,MT,Wibaux,109,969,18445887.84,19036.003962848295
55,Montana,MT,Yellowstone,111,161300,191382011.54999995,1186.4972817730934
