,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,North Carolina,NC,Alamance,001,169509,21186760.0,124.9889976343439
1,North Carolina,NC,Alexander,003,37497,3347191.0,89.26556791209964
2,North Carolina,NC,Alleghany,005,10939,5948825.84,543.8180674650333
3,North Carolina,NC,Anson,007,26161,6746345.0,257.8779480906693
4,North Carolina,NC,Ashe,009,27151,5399647.0,198.87470074767043
5,North Carolina,NC,Avery,011,17713,14400.0,0.8129622311296788
6,North Carolina,NC,Beaufort,013,46994,20865659.0,444.0068732178576
7,North Carolina,NC,Bertie,015,20344,7186686.0,353.25825796303576
8,North Carolina,NC,Bladen,017,34843,1792737.0,51.45185546594725
9,North Carolina,NC,Brunswick,019,142820,24978921.32,174.89792269990198
10,North Carolina,NC,Buncombe,021,261191,142805281.77,546.7465638938555
11,North Carolina,NC,Burke,023,90485,5150097.0,56.91658285903741
12,North Carolina,NC,Cabarrus,025,216453,28635686.01,132.29516805033887
13,North Carolina,NC,Caldwell,027,82178,16948356.0,206.2395775024946
14,North Carolina,NC,Camden,029,10187,1218375.0,119.60096201040542
15,North Carolina,NC,Carteret,031,69743,19882966.65,285.08906485238657
16,North Carolina,NC,Caswell,033,23190,9775327.0,421.5319965502372
17,North Carolina,NC,Catawba,035,159551,17554125.299999997,110.02203245357282
18,North Carolina,NC,Chatham,037,74470,5392257.0,72.4084463542366
19,North Carolina,NC,Cherokee,039,27218,22692114.36,833.7171856859432
20,North Carolina,NC,Chowan,041,14726,3967998.7,269.4552967540405
21,North Carolina,NC,Clay,043,10584,0.0,0.0
22,North Carolina,NC,Cleveland,045,97947,13012359.0,132.85102147079542
23,North Carolina,NC,Columbus,047,55508,10712949.0,192.99828853498596
24,North Carolina,NC,Craven,049,102139,34761292.730000004,340.33320014881684
25,North Carolina,NC,Cumberland,051,335509,200827611.48,598.5759293491382
26,North Carolina,NC,Currituck,053,24396,1699050.0,69.64461387112641
27,North Carolina,NC,Dare,055,35019,14679797.0,419.1952083154859
28,North Carolina,NC,Davidson,057,167609,15308426.0,91.33415270063064
29,North Carolina,NC,Davie,059,42846,19345021.0,451.501213648882
30,North Carolina,NC,Duplin,061,58741,44745388.49,761.7403260073884
31,North Carolina,NC,Durham,063,321488,3010971395.840001,9365.734944508042
32,North Carolina,NC,Edgecombe,065,51472,19403913.0,376.9799696922599
33,North Carolina,NC,Forsyth,067,382295,660679956.9500003,1728.1940829725743
34,North Carolina,NC,Franklin,069,69685,393467.0,5.646365788907225
35,North Carolina,NC,Gaston,071,224529,57190115.239999995,254.71148599958133
36,North Carolina,NC,Gates,073,11650,6168914.159999999,529.5205287553647
37,North Carolina,NC,Graham,075,8736,564537.0,64.62190934065934
38,North Carolina,NC,Granville,077,60443,2153423.0,35.62733484439885
39,North Carolina,NC,Greene,079,21232,37186974.0,1751.4588357196685
40,North Carolina,NC,Guilford,081,537174,221234628.24999994,411.84909963996756
41,North Carolina,NC,Halifax,083,50010,26580654.0,531.5067786442711
42,North Carolina,NC,Harnett,085,135976,28394321.73,208.8186277725481
43,North Carolina,NC,Haywood,087,62317,6389387.0,102.53040101416948
44,North Carolina,NC,Henderson,089,117417,35425487.25,301.706628937888
45,North Carolina,NC,Hertford,091,24431,21758584.0,890.6137284597438
46,North Carolina,NC,Hoke,093,55234,696593.0,12.611670347974075
47,North Carolina,NC,Hyde,095,5721,4856259.0,848.8479286837966
48,North Carolina,NC,Iredell,097,181806,29464703.0,162.06672497057303
49,North Carolina,NC,Jackson,099,43938,10160688.82,231.25059902590013
50,North Carolina,NC,Johnston,101,209339,18251932.5,87.18840015477288
51,North Carolina,NC,Jones,103,10215,767232.0,75.10837004405286
52,North Carolina,NC,Lee,105,61779,2364537.0,38.27412227455932
53,North Carolina,NC,Lenoir,107,55949,108236300.35,1934.5529026434788
54,North Carolina,NC,Lincoln,109,86111,1840882.0,21.378012100660776
55,North Carolina,NC,McDowell,111,45756,16620935.32,363.251493137512
56,North Carolina,NC,Macon,113,33857,15074394.0,445.23714446052514
57,North Carolina,NC,Madison,115,21022,8343831.0,396.9094757872705
58,North Carolina,NC,Martin,117,23699,1729382.0,72.97278366175787
59,North Carolina,NC,Mecklenburg,119,1110356,536895430.7700001,483.5344977376626
60,North Carolina,NC,Mitchell,121,15328,14133739.21,922.0863263308978
61,North Carolina,NC,Montgomery,123,27571,2078447.0,75.38525987450582
62,North Carolina,NC,Moore,125,100880,1735744.0,17.206026962727993
63,North Carolina,NC,Nash,127,94298,17853891.0,189.33477910454093
64,North Carolina,NC,New Hanover,129,234473,72798847.75,310.47859561655287
65,North Carolina,NC,Northampton,131,20839,4336075.0,208.07500359902107
66,North Carolina,NC,Onslow,133,197938,27089621.74,136.85912629207124
67,North Carolina,NC,Orange,135,148476,2292878775.460001,15442.75691330586
68,North Carolina,NC,Pamlico,137,12953,304300.0,23.492627190612215
69,North Carolina,NC,Pasquotank,139,39824,2687849.0,67.49319505825633
70,North Carolina,NC,Pender,141,63060,7229619.5,114.64667776720583
71,North Carolina,NC,Perquimans,143,13601,452353.0,33.25880449966914
72,North Carolina,NC,Person,145,39490,3048640.37,77.20031324385921
73,North Carolina,NC,Pitt,147,180742,77744029.22,430.1381484104414
74,North Carolina,NC,Polk,149,20411,121408.0,5.9481652050365
75,North Carolina,NC,Randolph,151,143667,19427975.0,135.2292106050798
76,North Carolina,NC,Richmond,153,44829,4719542.0,105.27877043877847
77,North Carolina,NC,Robeson,155,130625,88591225.92000002,678.210341971292
78,North Carolina,NC,Rockingham,157,91010,2905906.51,31.929529831886605
79,North Carolina,NC,Rowan,159,142088,91787453.41,645.9901850261809
80,North Carolina,NC,Rutherford,161,67029,4388567.0,65.4726610869922
81,North Carolina,NC,Sampson,163,63531,45936936.0,723.0633234169146
82,North Carolina,NC,Scotland,165,36025,11228085.0,311.67480916030536
83,North Carolina,NC,Stanly,167,62806,8092750.0,128.85313505079134
84,North Carolina,NC,Stokes,169,45591,5484241.0,120.29218486104713
85,North Carolina,NC,Surry,171,71783,4744922.0,66.10091525848739
86,North Carolina,NC,Swain,173,14058,53697445.92,3819.7073495518566
87,North Carolina,NC,Transylvania,175,32903,23812897.0,723.7302677567395
88,North Carolina,NC,Tyrrell,177,4109,195737.0,47.63616451691409
89,North Carolina,NC,Union,179,239859,24796092.84,103.37778795042087
90,North Carolina,NC,Vance,181,44535,7458026.0,167.46437633322105
91,North Carolina,NC,Wake,183,1111761,4246253755.1699986,3819.3944158591626
92,North Carolina,NC,Warren,185,20575,5271748.0,256.22104495747266
93,North Carolina,NC,Washington,187,12722,1515605.0,119.13260493633076
94,North Carolina,NC,Watauga,189,56177,22596546.979999997,402.2384068212969
95,North Carolina,NC,Wayne,191,123131,46827299.0,380.30470799392515
96,North Carolina,NC,Wilkes,193,68412,13734873.1,200.76701602058117
97,North Carolina,NC,Wilson,195,81801,36131690.0,441.7023019278493
98,North Carolina,NC,Yadkin,197,37667,19653812.0,521.7780019645844
99,North Carolina,NC,Yancey,199,17566,230468.0,13.120118410565865
