,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,North Dakota,ND,Adams,001,2360,43737.0,18.53262711864407
1,North Dakota,ND,Barnes,003,11190,7883073.0200000005,704.4748007149241
2,North Dakota,ND,Benson,005,6877,30636809.540000003,4454.967215355533
3,North Dakota,ND,Billings,007,874,1839169.08,2104.312448512586
4,North Dakota,ND,Bottineau,009,6736,4840387.000000001,718.5847684085512
5,North Dakota,ND,Bowman,011,3214,1680705.76,522.9327193528313
6,North Dakota,ND,Burke,013,2306,195067.34,84.5912142237641
7,North Dakota,ND,Burleigh,015,95626,516540014.9199997,5401.669158178735
8,North Dakota,ND,Cass,017,181923,151437425.39999986,832.4259461420484
9,North Dakota,ND,Cavalier,019,3896,2691136.24,690.7433880903492
10,North Dakota,ND,Dickey,021,5248,6744660.57,1285.186846417683
11,North Dakota,ND,Divide,023,2314,2303320.7199999997,995.3849265341399
12,North Dakota,ND,Dunn,025,4162,250000.0,60.0672753483902
13,North Dakota,ND,Eddy,027,2404,17972234.53,7475.971102329451
14,North Dakota,ND,Emmons,029,3486,1537096.1800000002,440.9340734366036
15,North Dakota,ND,Foster,031,3366,126705727.91,37642.818749257276
16,North Dakota,ND,Golden Valley,033,1823,919752.46,504.52685682940205
17,North Dakota,ND,Grand Forks,035,69451,173434362.54000002,2497.219083094556
18,North Dakota,ND,Grant,037,2377,1676297.23,705.2154943205721
19,North Dakota,ND,Griggs,039,2296,659938.91,287.42983885017424
20,North Dakota,ND,Hettinger,041,2660,3612896.46,1358.2317518796992
21,North Dakota,ND,Kidder,043,2428,11974982.58,4932.035658978583
22,North Dakota,ND,LaMoure,045,4166,2100338.82,504.1619827172347
23,North Dakota,ND,Logan,047,1946,4765259.9,2448.746094552929
24,North Dakota,ND,McHenry,049,5922,1987962.74,335.6911077338737
25,North Dakota,ND,McIntosh,051,2754,16625469.61,6036.844448075526
26,North Dakota,ND,McKenzie,053,9314,15163708.020000001,1628.0554026197124
27,North Dakota,ND,McLean,055,9517,18557451.38,1949.9265924135757
28,North Dakota,ND,Mercer,057,8592,13500028.05,1571.2323149441343
29,North Dakota,ND,Morton,059,28990,11194032.93,386.13428527078304
30,North Dakota,ND,Mountrail,061,9376,30979095.389999993,3304.0844059300334
31,North Dakota,ND,Nelson,063,3095,8538104.739999998,2758.676814216478
32,North Dakota,ND,Oliver,065,1874,1456028.42,776.962870864461
33,North Dakota,ND,Pembina,067,7181,6917859.449999999,963.3560019495891
34,North Dakota,ND,Pierce,069,4451,2620811.9499999997,588.8141878229611
35,North Dakota,ND,Ramsey,071,11554,19740495.66,1708.5421204777567
36,North Dakota,ND,Ransom,073,5516,38801614.43999999,7034.375351704131
37,North Dakota,ND,Renville,075,2608,508103.39,194.82491947852762
38,North Dakota,ND,Richland,077,16339,5601455.74,342.82732970194013
39,North Dakota,ND,Rolette,079,14582,81175532.48999998,5566.831195309284
40,North Dakota,ND,Sargent,081,3890,1226354.4,315.2582005141388
41,North Dakota,ND,Sheridan,083,1304,579468.03,444.3773236196319
42,North Dakota,ND,Sioux,085,4430,44272755.480000004,9993.849995485329
43,North Dakota,ND,Slope,087,761,1067587.23,1402.874152431012
44,North Dakota,ND,Stark,089,28212,27399653.070000004,971.2056242024672
45,North Dakota,ND,Steele,091,1960,952737.82,486.0907244897959
46,North Dakota,ND,Stutsman,093,21120,21591662.77,1022.3325175189394
47,North Dakota,ND,Towner,095,2317,1171969.6099999999,505.81338368580055
48,North Dakota,ND,Traill,097,8245,15763049.430000002,1911.8313438447547
49,North Dakota,ND,Walsh,099,11104,16050584.179999996,1445.4776819164263
50,North Dakota,ND,Ward,101,67641,40992375.31,606.0285227894325
51,North Dakota,ND,Wells,103,4206,11157899.350000001,2652.8529125059445
52,North Dakota,ND,Williams,105,29595,14999648.939999998,506.83050988342615
