,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Nebraska,NE,Adams,001,31363,6221484.0,198.37018142397093
1,Nebraska,NE,Antelope,003,6298,3113584.0900000003,494.37664179104485
2,Nebraska,NE,Arthur,005,463,22000.0,47.51619870410367
3,Nebraska,NE,Banner,007,745,48062.52,64.51344966442953
4,Nebraska,NE,Blaine,009,465,0.0,0.0
5,Nebraska,NE,Boone,011,5192,236228.0,45.49845916795069
6,Nebraska,NE,Box Butte,013,10783,1591570.0,147.59992580914403
7,Nebraska,NE,Boyd,015,1919,1650769.5900000003,860.2238613861388
8,Nebraska,NE,Brown,017,2955,12723254.13,4305.669756345178
9,Nebraska,NE,Buffalo,019,49659,105070546.06,2115.84095652349
10,Nebraska,NE,Burt,021,6459,9458166.139999999,1464.33908344945
11,Nebraska,NE,Butler,023,8016,4525671.45,564.5797717065868
12,Nebraska,NE,Cass,025,26248,10561062.0,402.3568271868333
13,Nebraska,NE,Cedar,027,8402,11499613.94,1368.6757843370626
14,Nebraska,NE,Chase,029,3924,94521.0,24.087920489296636
15,Nebraska,NE,Cherry,031,5689,9881272.41,1736.9084918263316
16,Nebraska,NE,Cheyenne,033,8910,6272382.31,703.9710785634119
17,Nebraska,NE,Clay,035,6203,3975376.0,640.8795743994841
18,Nebraska,NE,Colfax,037,10709,14073830.32,1314.2058380801195
19,Nebraska,NE,Cuming,039,8846,3350877.95,378.80148654759216
20,Nebraska,NE,Custer,041,10777,12010594.74,1114.4655043147443
21,Nebraska,NE,Dakota,043,20026,2694543.29,134.55224657944672
22,Nebraska,NE,Dawes,045,8589,850576.0,99.03085341716148
23,Nebraska,NE,Dawson,047,23595,1497266.77,63.45695147276965
24,Nebraska,NE,Deuel,049,1794,6002496.140000001,3345.872987736901
25,Nebraska,NE,Dixon,051,5636,7583111.140000001,1345.47749112846
26,Nebraska,NE,Dodge,053,36565,7432873.0,203.27835361684672
27,Nebraska,NE,Douglas,055,571327,612470684.0799999,1072.0142476725237
28,Nebraska,NE,Dundy,057,1693,2434143.92,1437.7695924394566
29,Nebraska,NE,Fillmore,059,5462,5293013.22,969.061373123398
30,Nebraska,NE,Franklin,061,2979,0.0,0.0
31,Nebraska,NE,Frontier,063,2627,1529626.0,582.2710315949753
32,Nebraska,NE,Furnas,065,4676,193400.0,41.360136869118904
33,Nebraska,NE,Gage,067,21513,147848.19,6.872504532143355
34,Nebraska,NE,Garden,069,1837,3431236.0,1867.8475775721286
35,Nebraska,NE,Garfield,071,1969,275869.0,140.10614525139664
36,Nebraska,NE,Gosper,073,1990,7425209.1,3731.2608542713565
37,Nebraska,NE,Grant,075,623,4410004.0,7078.658105939005
38,Nebraska,NE,Greeley,077,2356,66318.0,28.14855687606112
39,Nebraska,NE,Hall,079,61353,54607350.47,890.0518388668851
40,Nebraska,NE,Hamilton,081,9324,7883615.510000001,845.518608966109
41,Nebraska,NE,Harlan,083,3380,424154.0,125.48934911242604
42,Nebraska,NE,Hayes,085,922,0.0,0.0
43,Nebraska,NE,Hitchcock,087,2762,46800.0,16.944243301955105
