,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,New Hampshire,NH,Belknap,001,61303,111417790.20000002,1817.4932743911395
1,New Hampshire,NH,Carroll,003,48910,1582857.7500000037,32.36266101001848
2,New Hampshire,NH,Cheshire,005,76085,21141331.959999997,277.86465085102185
3,New Hampshire,NH,Coos,007,31563,24872280.9,788.0201786902385
4,New Hampshire,NH,Grafton,009,89886,374287555.2600001,4164.025045724586
5,New Hampshire,NH,Hillsborough,011,417025,155693089.30000004,373.3423399076795
6,New Hampshire,NH,Merrimack,013,151391,551963140.64,3645.9442149137003
7,New Hampshire,NH,Rockingham,015,309769,117224675.87999998,378.42610422605225
8,New Hampshire,NH,Strafford,017,130633,100492451.66999997,769.2730907963529
9,New Hampshire,NH,Sullivan,019,43146,6118952.54,141.81969452556436
