,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,New Jersey,NJ,Atlantic,001,263670,156760100.76999998,594.5314247733909
1,New Jersey,NJ,Bergen,003,932202,184342052.42999995,197.74904197802616
2,New Jersey,NJ,Burlington,005,445349,108510987.94,243.6538264147893
3,New Jersey,NJ,Camden,007,506471,330661015.89000016,652.8725551709775
4,New Jersey,NJ,Cape May,009,92039,19892144.79,216.12734590771302
5,New Jersey,NJ,Cumberland,011,149527,191769691.98999995,1282.5087909875806
6,New Jersey,NJ,Essex,013,798975,850552317.8699999,1064.5543576081855
7,New Jersey,NJ,Gloucester,015,291636,165265903.7,566.6855384794744
8,New Jersey,NJ,Hudson,017,672391,280309230.24999994,416.8842686026433
9,New Jersey,NJ,Hunterdon,019,124371,51840409.489999995,416.8207177718278
10,New Jersey,NJ,Mercer,021,367430,6201601742.659998,16878.321701167562
11,New Jersey,NJ,Middlesex,023,825062,1013449649.5699996,1228.3315066867697
12,New Jersey,NJ,Monmouth,025,618795,166341623.82000005,268.81539737716054
13,New Jersey,NJ,Morris,027,491845,140640553.17000002,285.94486712277245
14,New Jersey,NJ,Ocean,029,607186,211497659.48,348.32433468492354
15,New Jersey,NJ,Passaic,031,501826,371234911.6000001,739.7681897709566
16,New Jersey,NJ,Salem,033,62385,67366466.03,1079.8503811813737
17,New Jersey,NJ,Somerset,035,328934,257857173.61000013,783.9176661883542
18,New Jersey,NJ,Sussex,037,140488,24369609.039999995,173.4639900916804
19,New Jersey,NJ,Union,039,556341,225692721.43000004,405.67335758105196
20,New Jersey,NJ,Warren,041,105267,60831101.370000005,577.8743706004732
