,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,New Mexico,NM,Bernalillo,001,679121,708380916.1799998,1043.0849821754884
1,New Mexico,NM,Catron,003,3527,5216484.670000001,1479.0146498440604
2,New Mexico,NM,Chaves,005,64615,17947036.740000002,277.7534123655498
3,New Mexico,NM,Cibola,006,26675,22616214.449999996,847.8430909090907
4,New Mexico,NM,Colfax,007,11941,15743380.999999998,1318.4307009463193
5,New Mexico,NM,Curry,009,48954,10478834.26,214.05470972749927
6,New Mexico,NM,De Baca,011,1748,6144832.0,3515.350114416476
7,New Mexico,NM,Dona Ana,013,218195,202344638.70999995,927.3568996081484
8,New Mexico,NM,Eddy,015,58460,40803374.36,697.970823811153
9,New Mexico,NM,Grant,017,26998,11514506.920000002,426.4948114675162
10,New Mexico,NM,Guadalupe,019,4300,4259310.38,990.5372976744186
11,New Mexico,NM,Harding,021,625,777753.0,1244.4048
12,New Mexico,NM,Hidalgo,023,4198,24101103.84,5741.09191043354
13,New Mexico,NM,Lea,025,71070,9852744.22,138.6343635851977
14,New Mexico,NM,Lincoln,027,19572,17702062.66,904.458545881872
15,New Mexico,NM,Los Alamos,028,19369,51468059.300000004,2657.238850740875
16,New Mexico,NM,Luna,029,23709,2288319.2,96.51690075498756
17,New Mexico,NM,McKinley,031,71367,140694969.51999995,1971.4289450306158
18,New Mexico,NM,Mora,033,4521,36293029.24000001,8027.655217872154
19,New Mexico,NM,Otero,035,67490,42223346.539999984,625.6237448510889
20,New Mexico,NM,Quay,037,8253,17540517.33,2125.350458015267
21,New Mexico,NM,Rio Arriba,039,38921,72480426.74000002,1862.244719817066
22,New Mexico,NM,Roosevelt,041,18500,17340120.69,937.3038210810812
23,New Mexico,NM,Sandoval,043,146748,78827278.27999999,537.1608354457982
24,New Mexico,NM,San Juan,045,123958,101920196.43000002,822.2155603510869
25,New Mexico,NM,San Miguel,047,27277,34043282.1,1248.058147890164
26,New Mexico,NM,Santa Fe,049,150358,905985496.95,6025.5223995397655
27,New Mexico,NM,Sierra,051,10791,77268811.39999999,7160.486646279306
28,New Mexico,NM,Socorro,053,16637,97801956.66,5878.581274268197
29,New Mexico,NM,Taos,055,32723,14187716.33,433.57015952082634
30,New Mexico,NM,Torrance,057,15461,14677850.469999999,949.3467738179936
31,New Mexico,NM,Union,059,4059,2058033.5100000002,507.02968957871406
32,New Mexico,NM,Valencia,061,76688,38464413.6,501.5701752555811
