,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Nevada,NV,Churchill,001,24909,1581187.6600000006,63.47856838893575
1,Nevada,NV,Clark,003,2266715,603830633.9199997,266.3901875268835
2,Nevada,NV,Douglas,005,48905,56884535.0,1163.163991411921
3,Nevada,NV,Elko,007,52778,39217212.86999998,743.0598520216754
4,Nevada,NV,Esmeralda,009,873,-86223.62999999989,-98.76704467353939
5,Nevada,NV,Eureka,011,2029,62000.0,30.556924593395763
6,Nevada,NV,Humboldt,013,16831,7624786.76,453.0204242172182
7,Nevada,NV,Lander,015,5532,7414998.72,1340.3829934924076
8,Nevada,NV,Lincoln,017,5183,11574528.33,2233.1715859540805
9,Nevada,NV,Lyon,019,57510,15380215.65,267.4355007824726
10,Nevada,NV,Mineral,021,4505,3981287.2,883.7485460599335
11,Nevada,NV,Nye,023,46523,21481983.17,461.74974034348605
12,Nevada,NV,Pershing,027,6725,1581825.29,235.21565650557622
13,Nevada,NV,Storey,029,4123,0.0,0.0
14,Nevada,NV,Washoe,031,471519,463587437.8400002,983.1787008370823
15,Nevada,NV,White Pine,033,9580,23960149.86,2501.05948434238
16,Nevada,NV,Carson City,510,55916,819783481.88,14660.982221188926
