,State_x,State_code,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,New York,36,NY,Albany,001,305506,24405560721.550003,79885.70018772136
1,New York,36,NY,Allegany,003,46091,41373791.480000004,897.6544548827321
2,New York,36,NY,Bronx,005,1418207,1090584844.51,768.9884794744349
3,New York,36,NY,Broome,007,190488,78827892.92,413.82078094158163
4,New York,36,NY,Cattaraugus,009,76117,82603848.24,1085.2220691829682
5,New York,36,NY,Cayuga,011,76576,234443575.32,3061.5803296071877
6,New York,36,NY,Chautauqua,013,126903,63956164.25999999,503.97677170752456
7,New York,36,NY,Chemung,015,83456,32280893.11,386.8013457390721
8,New York,36,NY,Chenango,017,47207,135692848.49,2874.4221935306205
9,New York,36,NY,Clinton,019,80485,39921419.480000004,496.01067876001747
10,New York,36,NY,Columbia,021,59461,37220697.65,625.9682422091792
11,New York,36,NY,Cortland,023,47581,25067472.08,526.8378571278452
12,New York,36,NY,Delaware,025,44135,31919348.74,723.2207712699671
13,New York,36,NY,Dutchess,027,294218,95677653.21000001,325.1930650402083
14,New York,36,NY,Erie,029,918702,664120651.5200001,722.8901771412276
15,New York,36,NY,Essex,031,36885,9197533.38,249.35701179341197
16,New York,36,NY,Franklin,033,50022,61106921.4,1221.6009235936187
17,New York,36,NY,Fulton,035,53383,11726497.0,219.6672536200663
18,New York,36,NY,Genesee,037,57280,8111040.87,141.60336714385474
19,New York,36,NY,Greene,039,47188,7904273.81,167.50601445282697
20,New York,36,NY,Hamilton,041,4416,1677964.0,379.973731884058
21,New York,36,NY,Herkimer,043,61319,5455057.0,88.9619367569595
22,New York,36,NY,Jefferson,045,109834,56210474.49,511.7766310067921
23,New York,36,NY,Kings,047,2559903,832886495.18,325.35861522096735
24,New York,36,NY,Lewis,049,26296,20066505.0,763.1010419835717
25,New York,36,NY,Livingston,051,62914,3632479.0,57.737212703054965
26,New York,36,NY,Madison,053,70941,10572189.23,149.02791375932114
27,New York,36,NY,Monroe,055,741770,991798808.03,1337.0705313372068
28,New York,36,NY,Montgomery,057,49221,16820184.0,341.7277991101359
29,New York,36,NY,Nassau,059,1356924,183982120.67000002,135.58763841600563
30,New York,36,NY,New York,061,1628706,9864353719.869997,6056.558838654734
31,New York,36,NY,Niagara,063,209281,33214793.689999998,158.70907387674944
32,New York,36,NY,Oneida,065,228671,96640511.46,422.61813461260937
33,New York,36,NY,Onondaga,067,460528,273205759.28,593.2446219990966
34,New York,36,NY,Ontario,069,109777,13555460.57,123.48179099447061
35,New York,36,NY,Orange,071,384940,92876599.03,241.27552093832804
36,New York,36,NY,Orleans,073,40352,17904757.939999998,443.71426298572555
37,New York,36,NY,Oswego,075,117124,35966842.629999995,307.0834553976981
38,New York,36,NY,Otsego,077,59493,37071850.0,623.1296118871128
39,New York,36,NY,Putnam,079,98320,30417815.0,309.3756611065907
40,New York,36,NY,Queens,081,2253858,1282330640.9599998,568.9491711367796
41,New York,36,NY,Rensselaer,083,158714,122917958.79,774.4619806066258
42,New York,36,NY,Richmond,085,476143,57283091.49,120.30648668572258
43,New York,36,NY,Rockland,087,325789,176565850.28999996,541.9638179619323
44,New York,36,NY,St. Lawrence,089,107740,43809202.51,406.61966317059586
45,New York,36,NY,Saratoga,091,229863,27895802.71,121.35838612564876
46,New York,36,NY,Schenectady,093,155299,145552541.44,937.2406869329487
47,New York,36,NY,Schoharie,095,30999,20077324.0,647.6765056937321
48,New York,36,NY,Schuyler,097,17807,9172829.379999999,515.1249160442522
49,New York,36,NY,Seneca,099,34016,8332936.0,244.97107243650046
50,New York,36,NY,Steuben,101,95379,47107437.690000005,493.89737457930994
51,New York,36,NY,Suffolk,103,1476601,1034148521.3200002,700.3574569704342
52,New York,36,NY,Sullivan,105,75432,21256567.28,281.79774207233004
53,New York,36,NY,Tioga,107,48203,6852960.58,142.16875671638695
54,New York,36,NY,Tompkins,109,102180,327111687.52000004,3201.327926404385
55,New York,36,NY,Ulster,111,177573,66418439.61,374.03456386950717
56,New York,36,NY,Warren,113,63944,41348447.65,646.6353004191167
57,New York,36,NY,Washington,115,61204,20550165.0,335.76506437487745
58,New York,36,NY,Wayne,117,89918,23436233.0,260.640060944416
59,New York,36,NY,Westchester,119,967506,730980521.7600001,755.5307375458137
60,New York,36,NY,Wyoming,121,39859,9657178.0,242.28349933515642
61,New York,36,NY,Yates,123,24913,27127866.0,1088.9040260105166
