,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Ohio,OH,Adams,001,27698,5411456.55,195.37354863167016
1,Ohio,OH,Allen,003,102351,27368811.86,267.40150912057527
2,Ohio,OH,Ashland,005,53484,8905646.32,166.51047640415825
3,Ohio,OH,Ashtabula,007,97241,28375630.330000002,291.8072657623842
4,Ohio,OH,Athens,009,65327,51208493.85,783.8794656114624
5,Ohio,OH,Auglaize,011,45656,1515614.03,33.19638229367443
6,Ohio,OH,Belmont,013,67006,31372968.36999999,468.211329880906
7,Ohio,OH,Brown,015,43432,75469735.28000002,1737.6527739915273
8,Ohio,OH,Butler,017,383134,87258936.02999996,227.7504372621588
9,Ohio,OH,Carroll,019,26914,2739072.04,101.7712729434495
10,Ohio,OH,Champaign,021,38885,2375798.69,61.098076121897904
11,Ohio,OH,Clark,023,134585,26031544.389999997,193.4208447449567
12,Ohio,OH,Clermont,025,206428,37505753.71,181.6892752436685
13,Ohio,OH,Clinton,027,41968,10928199.44,260.39361990087684
14,Ohio,OH,Columbiana,029,101883,46832315.59000001,459.6676147149182
15,Ohio,OH,Coshocton,031,36600,7611498.379999999,207.96443661202184
16,Ohio,OH,Crawford,033,41494,10571114.519999998,254.76248421458519
17,Ohio,OH,Cuyahoga,035,1235072,1609782315.2499993,1303.391474545613
18,Ohio,OH,Darke,037,51113,13884834.320000002,271.6497626826835
19,Ohio,OH,Defiance,039,38087,10609096.419999998,278.54901724998024
20,Ohio,OH,Delaware,041,209177,626557672.4099998,2995.346870879685
21,Ohio,OH,Erie,043,74266,221964062.42999998,2988.7709373064386
22,Ohio,OH,Fairfield,045,157574,30025733.970000003,190.5500524832777
23,Ohio,OH,Fayette,047,28525,12662691.0,443.91554776511833
24,Ohio,OH,Franklin,049,1316756,3853749072.480001,2926.6994587303957
25,Ohio,OH,Fulton,051,42126,5007288.979999999,118.86457247305698
26,Ohio,OH,Gallia,053,29898,22284688.92,745.3571784065824
27,Ohio,OH,Geauga,055,93649,6654706.440000001,71.06009076445025
28,Ohio,OH,Greene,057,168937,40149185.57999999,237.6577397491372
29,Ohio,OH,Guernsey,059,38875,2741425.41,70.51898160771705
30,Ohio,OH,Hamilton,061,817473,1134571494.77,1387.9008784021
31,Ohio,OH,Hancock,063,75783,79742176.41000001,1052.2435956612962
32,Ohio,OH,Hardin,065,31365,1744593.63,55.62230607364897
33,Ohio,OH,Harrison,067,15040,8093936.240000001,538.1606542553192
34,Ohio,OH,Henry,069,27006,7932064.000000001,293.71487817522035
35,Ohio,OH,Highland,071,43161,12693975.959999999,294.10754987141166
36,Ohio,OH,Hocking,073,28264,4190200.1799999997,148.25219997169543
37,Ohio,OH,Holmes,075,43960,3563900.4899999998,81.07143971792539
