,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Pennsylvania,PA,Adams,001,103009,6096527.550000001,59.18441641021659
1,Pennsylvania,PA,Allegheny,003,1216045,2624079590.5400014,2157.8803338198845
2,Pennsylvania,PA,Armstrong,005,64735,13416084.07,207.24622028269098
3,Pennsylvania,PA,Beaver,007,163929,54714250.44999999,333.76797546498784
4,Pennsylvania,PA,Bedford,009,47888,31915373.929999996,666.4586938272636
5,Pennsylvania,PA,Berks,011,421164,110437689.48,262.2201552839274
6,Pennsylvania,PA,Blair,013,121829,191707786.99999997,1573.5808961741454
7,Pennsylvania,PA,Bradford,015,60323,10110011.030000001,167.59794821212475
8,Pennsylvania,PA,Bucks,017,628270,58404297.879999995,92.96050723415091
9,Pennsylvania,PA,Butler,019,187853,113991591.33000001,606.8127276647166
10,Pennsylvania,PA,Cambria,021,130192,31559556.790000007,242.40780378210647
11,Pennsylvania,PA,Cameron,023,4886,15788968.0,3231.4711420384774
12,Pennsylvania,PA,Carbon,025,64182,690878.26,10.764361659032128
13,Pennsylvania,PA,Centre,027,162385,426459818.37000006,2626.226673461219
14,Pennsylvania,PA,Chester,029,524989,182161726.61999997,346.9819874702136
15,Pennsylvania,PA,Clarion,031,38438,14590701.77,379.59055543992923
16,Pennsylvania,PA,Clearfield,033,79255,63579039.599999994,802.208562235821
17,Pennsylvania,PA,Clinton,035,38632,11951493.780000001,309.36772054255545
18,Pennsylvania,PA,Columbia,037,64964,5368963.23,82.64520703774399
19,Pennsylvania,PA,Crawford,039,84629,10938963.08,129.25785581774568
20,Pennsylvania,PA,Cumberland,041,253370,53242407.690000005,210.1369842128113
21,Pennsylvania,PA,Dauphin,043,278299,3370424497.7599998,12110.803480285591
22,Pennsylvania,PA,Delaware,045,566747,80278274.14,141.64746198921213
23,Pennsylvania,PA,Elk,047,31479,3616639.83,114.8905565615172
24,Pennsylvania,PA,Erie,049,269728,184394249.54,683.6303592508008
25,Pennsylvania,PA,Fayette,051,129274,45722056.099999994,353.6833090954097
26,Pennsylvania,PA,Forest,053,7631,2788581.0500000003,365.4279976412004
27,Pennsylvania,PA,Franklin,055,155027,45177398.519999996,291.4163243822044
28,Pennsylvania,PA,Fulton,057,14670,7732083.669999999,527.0677348329924
29,Pennsylvania,PA,Greene,059,36233,18834190.200000003,519.8076394447052
30,Pennsylvania,PA,Huntingdon,061,45144,42826593.12,948.6663370547581
31,Pennsylvania,PA,Indiana,063,84073,24975987.130000003,297.0750077908485
32,Pennsylvania,PA,Jefferson,065,43425,33513140.400000002,771.7476200345424
33,Pennsylvania,PA,Juniata,067,24768,13940508.57,562.8435307655039
34,Pennsylvania,PA,Lackawanna,069,209674,163232722.16000003,778.5072167269191
35,Pennsylvania,PA,Lancaster,071,545724,64804628.92000001,118.74982394030684
36,Pennsylvania,PA,Lawrence,073,85512,24727667.08,289.171894938722
37,Pennsylvania,PA,Lebanon,075,141793,24771014.750000004,174.69843186899215
38,Pennsylvania,PA,Lehigh,077,369318,90561822.42999999,245.21367068488402
39,Pennsylvania,PA,Luzerne,079,317417,190876691.9400001,601.3436329497163
40,Pennsylvania,PA,Lycoming,081,113299,35721381.269999996,315.28417082233733
41,Pennsylvania,PA,McKean,083,40625,18681774.520000003,459.8590651076924
42,Pennsylvania,PA,Mercer,085,109424,48774150.51,445.73540091753176
43,Pennsylvania,PA,Mifflin,087,46138,43424532.02999999,941.188001863973
44,Pennsylvania,PA,Monroe,089,170271,50642144.24,297.42084230432664
45,Pennsylvania,PA,Montgomery,091,830915,126789499.82,152.59021659255157
46,Pennsylvania,PA,Montour,093,18541,27808534.080000002,1499.840034518095
47,Pennsylvania,PA,Northampton,095,305285,59475181.37,194.81855109160293
48,Pennsylvania,PA,Northumberland,097,90843,19367432.06,213.19674669484715
49,Pennsylvania,PA,Perry,099,46272,5302304.58,114.58991571576763
50,Pennsylvania,PA,Philadelphia,101,1584064,4233179401.3599987,2672.353769393155
51,Pennsylvania,PA,Pike,103,55809,20477706.569999997,366.9248072891468
52,Pennsylvania,PA,Potter,105,17497,5940400.9399999995,339.50968394581923
53,Pennsylvania,PA,Schuylkill,107,141359,38504134.230000004,272.38544577989376
54,Pennsylvania,PA,Snyder,109,40372,35455891.13999999,878.2297419003268
55,Pennsylvania,PA,Somerset,111,73447,21070511.94,286.8804980462102
56,Pennsylvania,PA,Sullivan,113,6351,200000.0,31.4911037631869
57,Pennsylvania,PA,Susquehanna,115,40328,19843091.8,492.04254612180125
58,Pennsylvania,PA,Tioga,117,40591,26446585.64,651.5381646177724
59,Pennsylvania,PA,Union,119,44923,4379224.89,97.48291276183691
60,Pennsylvania,PA,Venango,121,50668,13208061.700000001,260.6785683271493
61,Pennsylvania,PA,Warren,123,39191,33264989.130000003,848.7915370875967
62,Pennsylvania,PA,Washington,125,206865,71651990.11999997,346.37077378966944
63,Pennsylvania,PA,Wayne,127,51361,8071930.62,157.1606981951286
64,Pennsylvania,PA,Westmoreland,129,348899,150247820.00000003,430.63413767308026
65,Pennsylvania,PA,Wyoming,131,28003,-1297573.13,-46.3369328286255
66,Pennsylvania,PA,York,133,449058,84738881.31000002,188.70364476303732
