,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,South Carolina,SC,Abbeville,001,25007,1310825.69,52.41835046187067
1,South Carolina,SC,Aiken,003,170872,71564058.14999999,418.81676430310404
2,South Carolina,SC,Allendale,005,9839,18627918.86,1893.2735908120744
3,South Carolina,SC,Anderson,007,202558,133543848.35000001,659.2869615122582
4,South Carolina,SC,Bamberg,009,15430,14319621.98,928.037717433571
5,South Carolina,SC,Barnwell,011,22119,8401684.709999999,379.84016953750165
6,South Carolina,SC,Beaufort,013,192122,35146735.36000001,182.93967041775542
7,South Carolina,SC,Berkeley,015,227907,32350885.21,141.9477471512503
8,South Carolina,SC,Calhoun,017,15055,470047.69,31.22203188309532
9,South Carolina,SC,Charleston,019,411406,649958346.1800005,1579.8465413241433
10,South Carolina,SC,Cherokee,021,57300,6076506.0,106.04722513089006
11,South Carolina,SC,Chester,023,32578,10723388.48,329.16042973785994
12,South Carolina,SC,Chesterfield,025,45650,32215295.95,705.7019923329682
13,South Carolina,SC,Clarendon,027,34355,31003972.180000003,902.4588030854317
14,South Carolina,SC,Colleton,029,37677,8738852.58,231.94130583645196
15,South Carolina,SC,Darlington,031,66618,39214456.55,588.6465602389744
16,South Carolina,SC,Dillon,033,31229,10896812.459999997,348.9324813474654
17,South Carolina,SC,Dorchester,035,162809,24347827.89,149.54841495249033
18,South Carolina,SC,Edgefield,037,26436,731108.7000000001,27.65579891057649
19,South Carolina,SC,Fairfield,039,23109,286041.70999999996,12.377935436410056
20,South Carolina,SC,Florence,041,138293,45429954.38999999,328.505089845473
21,South Carolina,SC,Georgetown,043,62680,13310298.540000001,212.35319942565414
22,South Carolina,SC,Greenville,045,523542,138356387.16000003,264.2698907824015
23,South Carolina,SC,Greenwood,047,70811,85049613.84,1201.0791238649363
24,South Carolina,SC,Hampton,049,20408,710984.0,34.838494707957665
25,South Carolina,SC,Horry,051,354081,135496377.77,382.67056907882665
26,South Carolina,SC,Jasper,053,26629,49707787.85,1866.6787280784108
27,South Carolina,SC,Kershaw,055,66551,8865379.3,133.21181199380928
28,South Carolina,SC,Lancaster,057,98012,26383337.330000002,269.1847664571685
29,South Carolina,SC,Laurens,059,67493,12498935.68,185.18862222749024
30,South Carolina,SC,Lee,061,18347,3709200.8,202.16933558619937
31,South Carolina,SC,Lexington,063,298750,409237021.19,1369.8310332719666
32,South Carolina,SC,McCormick,065,9947,4772188.2,479.761556248115
33,South Carolina,SC,Marion,067,32072,14527846.47,452.9760061736094
34,South Carolina,SC,Marlboro,069,28003,1252613.15,44.731391279505765
35,South Carolina,SC,Newberry,071,38440,12449725.430000002,323.8742307492196
36,South Carolina,SC,Oconee,073,79546,5795752.0,72.86038267166168
37,South Carolina,SC,Orangeburg,075,86175,86371490.38999999,1002.2801321729038
38,South Carolina,SC,Pickens,077,126884,132318087.58999997,1042.8272090255664
39,South Carolina,SC,Richland,079,415759,2123422762.2499988,5107.340459857751
40,South Carolina,SC,Saluda,081,20091,1087424.92,54.12497735304365
41,South Carolina,SC,Spartanburg,083,319785,191330773.43000004,598.3106569413826
42,South Carolina,SC,Sumter,085,106721,55231039.84999999,517.527383082992
43,South Carolina,SC,Union,087,28030,5419823.89,193.35796967534782
44,South Carolina,SC,Williamsburg,089,33067,7272954.170000001,219.94599358877434
45,South Carolina,SC,York,091,280979,100809175.03000005,358.77832517732656
