,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,South Dakota,SD,Aurora,003,2720,2095819.9500000002,770.5220404411765
1,South Dakota,SD,Beadle,005,18080,2024493.5099999998,111.97419856194689
2,South Dakota,SD,Bennett,007,3452,8321437.39,2410.6133806488992
3,South Dakota,SD,Bon Homme,009,7046,6129237.120000001,869.8888901504401
4,South Dakota,SD,Brookings,011,32968,14987741.959999999,454.61483741810235
5,South Dakota,SD,Brown,013,38839,16041335.040000001,413.0213198074101
6,South Dakota,SD,Brule,015,5366,5140241.13,957.9279034662691
7,South Dakota,SD,Buffalo,017,2024,607064.9299999999,299.9332658102766
8,South Dakota,SD,Butte,019,10330,5874097.68,568.6444995159728
9,South Dakota,SD,Campbell,021,1334,54408.0,40.7856071964018
10,South Dakota,SD,Charles Mix,023,9241,46775569.400000006,5061.743252894709
11,South Dakota,SD,Clark,025,3610,55496.0,15.372853185595568
12,South Dakota,SD,Clay,027,13935,58557456.28,4202.185595981342
13,South Dakota,SD,Codington,029,27853,2868792.48,102.99761174738808
14,South Dakota,SD,Corson,031,4215,14847762.870000001,3522.6009181494665
15,South Dakota,SD,Custer,033,8468,3850001.04,454.6529333963155
16,South Dakota,SD,Davison,035,19823,1299262.73,65.54319376481864
17,South Dakota,SD,Day,037,5596,1805189.05,322.5856057898499
18,South Dakota,SD,Deuel,039,4320,11373159.309999999,2632.6757662037035
19,South Dakota,SD,Dewey,041,5586,17435692.41,3121.3198012889366
20,South Dakota,SD,Douglas,043,3023,57085.58,18.88375124048958
21,South Dakota,SD,Edmunds,045,4041,3679703.9299999997,910.5924102944815
22,South Dakota,SD,Fall River,047,6839,72499148.72000001,10600.840579032025
23,South Dakota,SD,Faulk,049,2386,227830.09,95.48620704107293
24,South Dakota,SD,Grant,051,7281,6927033.419999999,951.3848949320147
25,South Dakota,SD,Gregory,053,4242,799798.9500000001,188.54289250353608
26,South Dakota,SD,Haakon,055,1894,22000.0,11.615628299894404
27,South Dakota,SD,Hamlin,057,5961,12667335.42,2125.0352994464015
28,South Dakota,SD,Hand,059,3391,246300.88,72.63370097316427
29,South Dakota,SD,Hanson,061,3405,160209.39,47.05121585903084
30,South Dakota,SD,Harding,063,1262,4605060.25,3649.0176307448496
31,South Dakota,SD,Hughes,065,17508,375229691.22999984,21431.89920207904
32,South Dakota,SD,Hutchinson,067,7145,944742.83,132.22432890132959
33,South Dakota,SD,Hyde,069,1391,22000.0,15.815959741193385
34,South Dakota,SD,Jackson,071,3216,22159805.53,6890.486794154229
35,South Dakota,SD,Jerauld,073,2066,114258.0,55.30396902226525
36,South Dakota,SD,Jones,075,1001,972292.6,971.3212787212786
37,South Dakota,SD,Kingsbury,077,5065,993111.06,196.0732596248766
38,South Dakota,SD,Lake,079,12055,27376537.26,2270.9694948154292
39,South Dakota,SD,Lawrence,081,24910,81068140.57000001,3254.4416126053798
40,South Dakota,SD,Lincoln,083,61128,145768434.35999998,2384.6426246564583
41,South Dakota,SD,Lyman,085,3892,49855727.169999994,12809.796292394654
42,South Dakota,SD,McCook,087,5654,1816675.3599999999,321.3079872656526
43,South Dakota,SD,McPherson,089,2457,574282.0,233.73300773300772
44,South Dakota,SD,Marshall,091,4763,1576160.58,330.9176107495276
45,South Dakota,SD,Meade,093,27202,17972923.57,660.7206664951107
46,South Dakota,SD,Mellette,095,2081,4542167.600000001,2182.6850552618935
47,South Dakota,SD,Miner,097,2333,42068992.03,18032.14403343335
48,South Dakota,SD,Minnehaha,099,193134,109742508.47999999,568.2195184690422
49,South Dakota,SD,Moody,101,6404,795052.59,124.14937382885697
51,South Dakota,SD,Pennington,103,113775,119437872.51,1049.7725555702043
52,South Dakota,SD,Perkins,105,3037,3916736.6300000004,1289.6729107672045
53,South Dakota,SD,Potter,107,2394,22000.0,9.189640768588138
54,South Dakota,SD,Roberts,109,10251,38264885.49,3732.7953848405036
55,South Dakota,SD,Sanborn,111,2324,638948.0,274.934595524957
56,South Dakota,SD,Spink,115,6610,18246104.970000003,2760.378966717096
57,South Dakota,SD,Stanley,117,2981,16897448.56,5668.382609862462
58,South Dakota,SD,Sully,119,1437,33500254.79,23312.633813500346
59,South Dakota,SD,Todd,121,9982,137407493.4,13765.527289120417
60,South Dakota,SD,Tripp,123,5498,9959940.600000001,1811.557038923245
61,South Dakota,SD,Turner,125,8361,38164017.06,4564.527814854683
62,South Dakota,SD,Union,127,14829,2723013.13,183.627562883539
63,South Dakota,SD,Walworth,129,5524,716743.0,129.75072411296162
64,South Dakota,SD,Yankton,135,22696,3599301.7,158.58749118787452
65,South Dakota,SD,Ziebach,137,2834,10270726.57,3624.1095871559633
