,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Tennessee,TN,Anderson,001,76978,21624317.83,280.91555808152975
1,Tennessee,TN,Bedford,003,49713,1869042.47,37.59665419507976
2,Tennessee,TN,Benton,005,16290,1319461.5999999999,80.99825659914057
3,Tennessee,TN,Bledsoe,007,12841,752469.6799999999,58.59899384783116
4,Tennessee,TN,Blount,009,133088,30249637.769999996,227.2904977909353
5,Tennessee,TN,Bradley,011,108110,13244529.059999999,122.50974988437702
6,Tennessee,TN,Campbell,013,39842,26852372.609999996,673.971502685608
7,Tennessee,TN,Cannon,015,13775,1683398.0,122.20675136116152
8,Tennessee,TN,Carroll,017,28513,31440834.33,1102.6841907200223
9,Tennessee,TN,Carter,019,56391,49084594.20999999,870.4331224840843
10,Tennessee,TN,Cheatham,021,40667,4784491.38,117.65046302899157
11,Tennessee,TN,Chester,023,17321,20783612.0,1199.9083193810982
12,Tennessee,TN,Claiborne,025,31560,68171233.41,2160.051755703422
13,Tennessee,TN,Clay,027,7774,424813.0,54.64535631592488
14,Tennessee,TN,Cocke,029,35479,14002143.629999999,394.66004199667407
15,Tennessee,TN,Coffee,031,56520,6755631.01,119.52638021939136
16,Tennessee,TN,Crockett,033,14591,130029.25,8.911606469741622
17,Tennessee,TN,Cumberland,035,60520,19253681.26,318.13749603436884
18,Tennessee,TN,Davidson,037,694144,4099243417.1499977,5905.465461273162
19,Tennessee,TN,Decatur,039,11661,1482871.11,127.16500385901725
20,Tennessee,TN,DeKalb,041,19164,800375.0,41.76450636610311
21,Tennessee,TN,Dickson,043,53948,5485730.32,101.68551790613184
22,Tennessee,TN,Dyer,045,37159,9292867.719999999,250.0839021502193
23,Tennessee,TN,Fayette,047,41133,35992809.35,875.0348710281284
24,Tennessee,TN,Fentress,049,17909,2774585.0100000002,154.92685297894914
25,Tennessee,TN,Franklin,051,42208,7895054.92,187.05114954510992
26,Tennessee,TN,Gibson,053,49133,66008848.20999999,1343.4727822441128
27,Tennessee,TN,Giles,055,28746,4936570.510000001,171.73069331385238
28,Tennessee,TN,Grainger,057,22702,3010970.5,132.63018676768567
29,Tennessee,TN,Greene,059,69069,6903808.62,99.9552421491552
30,Tennessee,TN,Grundy,061,13498,1316297.21,97.51794413987257
31,Tennessee,TN,Hamblen,063,64934,25964176.56,399.8548766439769
32,Tennessee,TN,Hamilton,065,367804,111639472.00999999,303.5297930691346
33,Tennessee,TN,Hancock,067,6679,1459106.18,218.46177272046714
34,Tennessee,TN,Hardeman,069,26306,17743157.8,674.4909070174104
35,Tennessee,TN,Hardin,071,26034,10228796.959999999,392.9014734577859
36,Tennessee,TN,Hawkins,073,56786,23466887.88,413.25129221991335
37,Tennessee,TN,Haywood,075,18224,1299013.2899999998,71.28036051360841
38,Tennessee,TN,Henderson,077,28048,4141172.9300000006,147.64592591272108
39,Tennessee,TN,Henry,079,32210,7530508.08,233.79410369450483
40,Tennessee,TN,Hickman,081,24267,1084502.0,44.69040260435983
41,Tennessee,TN,Houston,083,8292,366576.5,44.208453931500244
42,Tennessee,TN,Humphreys,085,18243,2714326.88,148.78730910486215
43,Tennessee,TN,Jackson,087,11517,2177285.75,189.04973083268212
44,Tennessee,TN,Jefferson,089,54495,77075509.89999999,1414.3592971832277
45,Tennessee,TN,Johnson,091,17977,2232254.21,124.1727880068977
46,Tennessee,TN,Knox,093,470313,392043658.77000004,833.580315173087
47,Tennessee,TN,Lake,095,7731,3528590.0500000007,456.4209093260899
48,Tennessee,TN,Lauderdale,097,27795,5111838.619999999,183.91216477783772
49,Tennessee,TN,Lawrence,099,44142,8007196.959999999,181.39633365049158
50,Tennessee,TN,Lewis,101,11961,5884292.0,491.9565253741326
51,Tennessee,TN,Lincoln,103,33633,3178679.5999999996,94.51073647905329
52,Tennessee,TN,Loudon,105,54068,15232798.020000001,281.7340759783976
53,Tennessee,TN,McMinn,107,53794,3016462.8200000008,56.07433579953156
54,Tennessee,TN,McNairy,109,26140,4428650.0,169.420428462127
55,Tennessee,TN,Macon,111,22701,380503.52,16.761531210078854
56,Tennessee,TN,Madison,113,97984,12626659.549999997,128.86450389859567
57,Tennessee,TN,Marion,115,28374,57433174.87,2024.147983012617
58,Tennessee,TN,Marshall,117,31130,12692798.64,407.7352598779313
59,Tennessee,TN,Maury,119,96387,23372908.63,242.490259371077
60,Tennessee,TN,Meigs,121,11649,,
61,Tennessee,TN,Monroe,123,46545,13612232.27,292.4531586636588
62,Tennessee,TN,Montgomery,125,208993,54205627.57000001,259.3657566042882
63,Tennessee,TN,Moore,127,6301,1957088.0,310.5995873670846
64,Tennessee,TN,Morgan,129,21915,7941049.56,362.35681314168374
65,Tennessee,TN,Obion,131,31131,2050492.73,65.86658732453182
66,Tennessee,TN,Overton,133,22075,1956839.33,88.64504326160815
67,Tennessee,TN,Perry,135,7869,9229478.0,1172.8908374634643
68,Tennessee,TN,Pickett,137,5090,481864.0,94.66876227897839
69,Tennessee,TN,Polk,139,16690,15523141.299999999,930.0863571000599
70,Tennessee,TN,Putnam,141,80245,57674758.089999996,718.7333552246246
71,Tennessee,TN,Rhea,143,32513,1768160.3800000001,54.38318149663212
72,Tennessee,TN,Roane,145,53382,100701086.07,1886.4240019107563
73,Tennessee,TN,Robertson,147,71813,3287459.76,45.77805912578502
74,Tennessee,TN,Rutherford,149,332285,107159108.08,322.49156019681897
75,Tennessee,TN,Scott,151,22015,5134051.12,233.2069552577788
76,Tennessee,TN,Sequatchie,153,14681,2632902.56,179.34081874531708
77,Tennessee,TN,Sevier,155,98250,3348276.1599999997,34.07914666666667
78,Tennessee,TN,Shelby,157,937166,1035967952.9700003,1105.426309714608
79,Tennessee,TN,Smith,159,19074,4641377.3999999985,243.33529411764698
80,Tennessee,TN,Stewart,161,13362,2326396.0100000002,174.10537419547973
81,Tennessee,TN,Sullivan,163,158348,21251883.930000003,134.20999273751485
82,Tennessee,TN,Sumner,165,191283,15963695.589999998,83.45590350423194
83,Tennessee,TN,Tipton,167,61599,5483996.41,89.02736099612007
84,Tennessee,TN,Trousdale,169,7828,1302268.7200000002,166.36033725089425
85,Tennessee,TN,Unicoi,171,18082,1912621.0,105.77485897577702
86,Tennessee,TN,Union,173,19102,1137254.5299999998,59.535887865145
87,Tennessee,TN,Van Buren,175,5583,1385674.0,248.19523553644993
88,Tennessee,TN,Warren,177,41277,16314705.719999999,395.24930881604763
89,Tennessee,TN,Washington,179,129375,45083163.989999995,348.46890040579706
90,Tennessee,TN,Wayne,181,16939,2859679.67,168.82222504280062
91,Tennessee,TN,Weakley,183,34450,7530810.720000001,218.6011820029028
92,Tennessee,TN,White,185,26244,3132330.93,119.35417352537723
93,Tennessee,TN,Williamson,187,238412,78126864.35000001,327.69686236431056
94,Tennessee,TN,Wilson,189,144657,11304292.199999997,78.14549036686782
