,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Texas,TX,Anderson,001,57735,4464117.659999999,77.32082203169654
1,Texas,TX,Andrews,003,16799,22813577.36,1358.031868563605
2,Texas,TX,Angelina,005,86715,4815859.600000001,55.53663841319265
3,Texas,TX,Aransas,007,24356,23562926.32,967.4382624404665
4,Texas,TX,Archer,009,8681,10734524.27,1236.5538843451216
5,Texas,TX,Armstrong,011,1949,7774723.24,3989.083242688558
6,Texas,TX,Atascosa,013,51153,37229882.239999995,727.814248235685
7,Texas,TX,Austin,015,28847,78907510.18000002,2735.380115089958
8,Texas,TX,Bailey,017,7114,9300.0,1.3072814169243745
9,Texas,TX,Bandera,019,20601,4553985.62,221.05653220717443
10,Texas,TX,Bastrop,021,88723,40235550.160000004,453.4962767264408
11,Texas,TX,Baylor,023,3614,15358130.530000001,4249.621065301605
12,Texas,TX,Bee,025,32799,888143.0,27.078356047440472
13,Texas,TX,Bell,027,362924,233396267.34,643.0995672372177
14,Texas,TX,Bexar,029,2003554,1902607224.5200005,949.6161443714522
15,Texas,TX,Blanco,031,10723,7638069.3,712.307124871771
16,Texas,TX,Borden,033,637,0.0,0.0
17,Texas,TX,Bosque,035,17855,4152835.87,232.58671912629515
18,Texas,TX,Bowie,037,93245,29112841.199999996,312.2187913561048
19,Texas,TX,Brazoria,039,374264,108349289.83999997,289.49963084881256
20,Texas,TX,Brazos,041,229211,1007689486.9899999,4396.339996727906
21,Texas,TX,Brewster,043,9286,705379.49,75.96160779668318
22,Texas,TX,Briscoe,045,1537,0.0,0.0
23,Texas,TX,Brooks,047,7237,1238613.81,171.15017410529225
24,Texas,TX,Brown,049,37864,10788123.45,284.9176909465455
25,Texas,TX,Burleson,051,17169,12411437.319999998,722.8980907449472
26,Texas,TX,Burnet,053,48155,9583071.2,199.00469733153358
27,Texas,TX,Caldwell,055,43664,2939183.16,67.31364877244413
28,Texas,TX,Calhoun,057,21806,4791918.74,219.75230395304047
29,Texas,TX,Callahan,059,13525,11936752.469999999,882.5694987060997
30,Texas,TX,Cameron,061,423163,323109453.62,763.5579046844833
31,Texas,TX,Camp,063,12413,413600.0,33.31990654958511
32,Texas,TX,Carson,065,6010,8262459.6099999985,1374.7852928452576
33,Texas,TX,Cass,067,30331,11686154.0,385.28746167287596
34,Texas,TX,Castro,069,8030,4179531.8,520.4896388542963
