,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Utah,UT,Beaver,001,6459,1849065.5,286.27736491716985
1,Utah,UT,Box Elder,003,56046,46444216.059999995,828.6802993969238
2,Utah,UT,Cache,005,128289,107817278.42000002,840.4249656634631
3,Utah,UT,Carbon,007,20988,22351277.020000003,1064.9550705164859
4,Utah,UT,Daggett,009,1127,286256.0,253.99822537710736
5,Utah,UT,Davis,011,355481,79593028.46,223.90234206610197
6,Utah,UT,Duchesne,013,20308,10960384.26,539.7077142013
7,Utah,UT,Emery,015,10749,11243634.89,1046.01682854219
8,Utah,UT,Garfield,017,5083,24929939.859999996,4904.572075545937
9,Utah,UT,Grand,019,9360,10138981.32,1083.2245
10,Utah,UT,Iron,021,54839,100397555.72,1830.7692649391856
11,Utah,UT,Juab,023,10348,8428319.76,814.4878005411673
12,Utah,UT,Kane,025,7260,12074789.68,1663.194170798898
13,Utah,UT,Millard,027,12662,18705012.81,1477.25578976465
14,Utah,UT,Morgan,029,10173,4856990.22,477.43932173400174
15,Utah,UT,Piute,031,1510,150000.0,99.33774834437087
16,Utah,UT,Rich,033,2288,12795394.520000001,5592.392709790211
17,Utah,UT,Salt Lake,035,1160437,2243215905.0299997,1933.0785773204402
18,Utah,UT,San Juan,037,14973,50479732.22999999,3371.3839731516723
19,Utah,UT,Sanpete,039,28237,7585905.010000001,268.6512380918653
20,Utah,UT,Sevier,041,20852,12693949.41,608.7641190293497
21,Utah,UT,Summit,043,42145,23177798.810000002,549.9537029303596
22,Utah,UT,Tooele,045,72259,55258813.68000001,764.732610193886
23,Utah,UT,Uintah,047,35555,43851782.07999998,1233.3506421037823
24,Utah,UT,Utah,049,636235,206683070.43,324.85334888838247
25,Utah,UT,Wasatch,051,26437,29135589.440000005,1102.0762355789236
26,Utah,UT,Washington,053,177556,64473332.31,363.1154808060556
27,Utah,UT,Wayne,055,2747,19966832.839999996,7268.59586457954
28,Utah,UT,Weber,057,260213,127216648.88000003,488.8942861425064
