,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Virginia,VA,Accomack,001,33148,3120258.7300000004,94.13113098829493
1,Virginia,VA,Albemarle,003,109330,10678160.34,97.66907838653617
2,Virginia,VA,Alleghany,005,16161,171113.33000000002,10.588040962811709
3,Virginia,VA,Amelia,007,12745,2305051.5,180.85927814829344
4,Virginia,VA,Amherst,009,32178,24488067.06,761.018927838896
5,Virginia,VA,Appomattox,011,15255,1297402.1600000001,85.04766699442807
6,Virginia,VA,Arlington,013,236842,767335493.0400001,3239.8624105521826
7,Virginia,VA,Augusta,015,75558,13662830.049999999,180.8257239471664
8,Virginia,VA,Bath,017,4616,22000.0,4.766031195840554
9,Virginia,VA,Bedford,019,78997,14117274.75,178.70646670126715
10,Virginia,VA,Bedford,515,78997,0.0,0.0
11,Virginia,VA,Bland,021,6735,9049208.28,1343.6092472160356
12,Virginia,VA,Botetourt,023,33002,9304673.309999999,281.9427098357675
13,Virginia,VA,Brunswick,025,16973,2648991.8600000003,156.07092794438228
14,Virginia,VA,Buchanan,027,23597,11941800.65,506.07283341102686
15,Virginia,VA,Buckingham,029,17136,39628078.0,2312.5629084967322
16,Virginia,VA,Campbell,031,54885,659478.0900000001,12.015634326318668
17,Virginia,VA,Caroline,033,29298,4147788.6100000003,141.57241484060347
18,Virginia,VA,Carroll,035,29883,7490086.09,250.6470598668139
19,Virginia,VA,Charles City,036,7130,271211.93,38.03813884992987
20,Virginia,VA,Charlotte,037,12305,279608.97,22.723199512393332
21,Virginia,VA,Chesterfield,041,352802,27903129.88,79.09005583868571
22,Virginia,VA,Clarke,043,14348,39427.0,2.7479091162531364
23,Virginia,VA,Craig,045,5210,10875575.0,2087.442418426104
24,Virginia,VA,Culpeper,047,52605,11237869.11,213.62739492443683
25,Virginia,VA,Cumberland,049,9841,20599792.0,2093.262066863124
26,Virginia,VA,Dickenson,051,15486,70000.0,4.520211804210255
27,Virginia,VA,Dinwiddie,053,27904,5432439.0,194.68316370412845
28,Virginia,VA,Essex,057,11229,2930129.32,260.94303321756166
29,Virginia,VA,Fairfax,059,1147532,277855181.64,242.13283955480108
30,Virginia,VA,Fairfax,600,1147532,32029639.63,27.91176161536236
31,Virginia,VA,Fauquier,061,71222,7486413.78,105.11378197747888
32,Virginia,VA,Floyd,063,15528,643000.0,41.40906749098403
33,Virginia,VA,Fluvanna,065,25977,16773.0,0.6456865688878624
34,Virginia,VA,Franklin,067,56042,7114813.739999999,126.95502908532885
35,Virginia,VA,Franklin,620,56042,21365549.0,381.2417294172228
36,Virginia,VA,Frederick,069,89313,9706344.47,108.6778461142275
37,Virginia,VA,Giles,071,16925,3055670.54,180.5418339734121
38,Virginia,VA,Gloucester,073,36834,2608210.92,70.80987457240593
39,Virginia,VA,Goochland,075,21626,19818.03,0.9163983168408397
40,Virginia,VA,Grayson,077,15161,150000.0,9.893806477145308
41,Virginia,VA,Greene,079,18804,225211.0,11.976760263773665
42,Virginia,VA,Greensville,081,11886,0.0,0.0
43,Virginia,VA,Halifax,083,35401,6005366.84,169.6383390299709
44,Virginia,VA,Hanover,085,107766,10806274.09,100.27535669877327
