,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Vermont,VT,Addison,001,36791,25966650.41999999,705.7881117664643
1,Vermont,VT,Bennington,003,36659,97203186.06,2651.5503985378764
2,Vermont,VT,Caledonia,005,31157,3226036.6900000004,103.54131302757006
3,Vermont,VT,Chittenden,007,163774,443851332.9700001,2710.145279287311
4,Vermont,VT,Essex,009,6211,774474.6,124.69402672677508
5,Vermont,VT,Franklin,011,49402,47420709.64,959.89453139549
6,Vermont,VT,Grand Isle,013,6987,16872756.13,2414.8785072277083
7,Vermont,VT,Lamoille,015,25067,20541361.469999995,819.4583105277853
8,Vermont,VT,Orange,017,28915,38662525.01999999,1337.1096323707413
9,Vermont,VT,Orleans,019,27169,29663656.789999995,1091.8199709227426
10,Vermont,VT,Rutland,021,58191,38485433.180000015,661.3640112732212
11,Vermont,VT,Washington,023,58409,966036570.9900002,16539.173260798852
12,Vermont,VT,Windham,025,42222,29335903.269999996,694.8013658756098
13,Vermont,VT,Windsor,027,55062,78898172.16000001,1432.8969554320586
