,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Wisconsin,WI,Adams,001,20480,7326356.499999999,357.73225097656245
1,Wisconsin,WI,Ashland,003,16016,16509977.330000002,1030.8427403846156
2,Wisconsin,WI,Barron,005,45244,9774720.130000003,216.04456126779246
3,Wisconsin,WI,Bayfield,007,15156,58174150.31999999,3838.357767220902
4,Wisconsin,WI,Brown,009,264542,47168192.23,178.30133676316046
5,Wisconsin,WI,Buffalo,011,13357,9203240.229999999,689.0200067380399
6,Wisconsin,WI,Burnett,013,15333,8093732.46,527.8635922520054
7,Wisconsin,WI,Calumet,015,50089,8236939.06,164.4460672003833
8,Wisconsin,WI,Chippewa,017,64658,19907906.89,307.8954946023694
9,Wisconsin,WI,Clark,019,34615,5869093.790000001,169.55348230535898
10,Wisconsin,WI,Columbia,021,57532,28837841.999999996,501.2487311409302
11,Wisconsin,WI,Crawford,023,16397,20199239.939999998,1231.8863170092088
12,Wisconsin,WI,Dane,025,546695,4642778160.250003,8492.446721206528
13,Wisconsin,WI,Dodge,027,87839,25852501.809999995,294.316895797994
14,Wisconsin,WI,Door,029,27896,1176698.0,42.181603097218236
15,Wisconsin,WI,Douglas,031,43150,35509267.50000001,822.926245654693
16,Wisconsin,WI,Dunn,033,45368,7671988.149999999,169.10571658437664
17,Wisconsin,WI,Eau Claire,035,104646,13463691.15,128.6593959635342
18,Wisconsin,WI,Florence,037,4520,719156.05,159.10532079646018
19,Wisconsin,WI,Fond du Lac,039,103403,46438436.28000001,449.1014407705773
20,Wisconsin,WI,Forest,041,9126,23274159.000000004,2550.313280736358
21,Wisconsin,WI,Grant,043,51439,22673989.169999994,440.7937395750305
22,Wisconsin,WI,Green,045,37090,15758453.170000002,424.8706705311405
23,Wisconsin,WI,Green Lake,047,18959,5540882.15,292.25603407352713
24,Wisconsin,WI,Iowa,049,23749,41392424.43000001,1742.9123091498593
25,Wisconsin,WI,Iron,051,5886,5549998.100000001,942.9150696568129
26,Wisconsin,WI,Jackson,053,20644,37361682.88,1809.8083162177875
27,Wisconsin,WI,Jefferson,055,84769,20257974.91,238.97857601245738
28,Wisconsin,WI,Juneau,057,26547,39215227.05000001,1477.1999491467966
29,Wisconsin,WI,Kenosha,059,169561,40913221.88,241.2891046879884
30,Wisconsin,WI,Kewaunee,061,20505,7413041.380000001,361.5235981467935
31,Wisconsin,WI,La Crosse,063,118016,23473327.589999996,198.8995355714479
32,Wisconsin,WI,Lafayette,065,16766,21131870.650000006,1260.4002534892047
33,Wisconsin,WI,Langlade,067,19575,4766491.7700000005,243.4989409961686
34,Wisconsin,WI,Lincoln,069,28684,4400033.49,153.39678880211966
35,Wisconsin,WI,Manitowoc,071,78981,11578496.549999997,146.5985053367265
36,Wisconsin,WI,Marathon,073,135692,57232870.41999999,421.7851488665506
37,Wisconsin,WI,Marinette,075,40350,8863052.1,219.65432713754646
38,Wisconsin,WI,Marquette,077,15176,5327403.1899999995,351.0413277543489
39,Wisconsin,WI,Menominee,078,4317,39024190.01,9039.654855223534
40,Wisconsin,WI,Milwaukee,079,945726,965923304.63,1021.3564019916973
41,Wisconsin,WI,Monroe,081,46253,51114268.93999999,1105.10170021404
42,Wisconsin,WI,Oconto,083,37930,9185406.390000002,242.1673184814132
43,Wisconsin,WI,Oneida,085,35689,10252152.299999999,287.26364706211996
44,Wisconsin,WI,Outagamie,087,187885,91168644.41000006,485.23641807488656
45,Wisconsin,WI,Ozaukee,089,89221,53399581.10000001,598.5091077212765
46,Wisconsin,WI,Pepin,091,7360,0.0,0.0
47,Wisconsin,WI,Pierce,093,42754,2831314.7399999998,66.22338822098517
48,Wisconsin,WI,Polk,095,43783,32081169.839999996,732.7311933855606
49,Wisconsin,WI,Portage,097,70772,25809699.739999987,364.68800853444844
50,Wisconsin,WI,Price,099,13802,10385132.84,752.4368091580931
51,Wisconsin,WI,Racine,101,196311,117909530.36999997,600.6262021486314
52,Wisconsin,WI,Richland,103,17717,6470399.819999999,365.20854659366705
53,Wisconsin,WI,Rock,105,163354,209534070.79999995,1282.6993572241877
54,Wisconsin,WI,Rusk,107,14395,18286668.27,1270.3486120180619
55,Wisconsin,WI,St. Croix,109,90687,9117257.340000002,100.53543881703003
56,Wisconsin,WI,Sauk,111,64442,23174790.650000002,359.6224612830142
57,Wisconsin,WI,Sawyer,113,16513,38878415.86,2354.412636104887
58,Wisconsin,WI,Shawano,115,40899,18035040.94,440.96532775862494
59,Wisconsin,WI,Sheboygan,117,115340,26099992.82,226.28743558175827
60,Wisconsin,WI,Taylor,119,20610,4526728.78,219.6374953905871
61,Wisconsin,WI,Trempealeau,121,29582,32879687.400000002,1111.4761476573592
62,Wisconsin,WI,Vernon,123,30329,11596259.240000002,382.3488819281876
63,Wisconsin,WI,Vilas,125,21368,48283482.68,2259.616374017222
64,Wisconsin,WI,Walworth,127,103868,44442625.74000001,427.87601320907316
65,Wisconsin,WI,Washburn,129,15686,1738189.74,110.81153512686473
66,Wisconsin,WI,Washington,131,136034,26689516.9,196.19739844450652
67,Wisconsin,WI,Waukesha,133,404198,76165406.69,188.43588214192053
68,Wisconsin,WI,Waupaca,135,50990,307257201.8,6025.832551480683
69,Wisconsin,WI,Waushara,137,24329,27805380.819999997,1142.8904114431336
70,Wisconsin,WI,Winnebago,139,171907,97858192.38000003,569.2507715218113
71,Wisconsin,WI,Wood,141,72999,12160524.619999997,166.58481102480852
