,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,West Virginia,WV,Barbour,001,16770,27170263.7,1620.1707632677399
1,West Virginia,WV,Berkeley,003,119171,55198500.190000005,463.18735422208425
2,West Virginia,WV,Boone,005,24224,6892895.420000002,284.54819270145316
3,West Virginia,WV,Braxton,007,14502,4986028.4399999995,343.8166073645014
4,West Virginia,WV,Brooke,009,23737,18163979.93,765.2180111218772
5,West Virginia,WV,Cabell,011,91945,93105912.26000002,1012.6261597694275
6,West Virginia,WV,Calhoun,013,7564,17062116.62,2255.700240613432
7,West Virginia,WV,Clay,015,9244,1046454.76,113.20367373431415
8,West Virginia,WV,Doddridge,017,8344,1833685.05,219.76091203259827
9,West Virginia,WV,Fayette,019,42406,16704205.599999998,393.911371032401
10,West Virginia,WV,Gilmer,021,8672,1621107.37,186.9358129612546
11,West Virginia,WV,Grant,023,11759,224401.09999999998,19.08334892422825
12,West Virginia,WV,Greenbrier,025,35644,20002653.279999994,561.1786915048814
13,West Virginia,WV,Hampshire,027,23445,11425059.66,487.31327191298783
14,West Virginia,WV,Hancock,029,30291,3636460.4799999995,120.05085602984383
15,West Virginia,WV,Hardy,031,13920,25477287.509999998,1830.2649073275861
16,West Virginia,WV,Harrison,033,67256,64219525.22,954.8519867372428
17,West Virginia,WV,Jackson,035,29178,1579263.49,54.125145314963326
18,West Virginia,WV,Jefferson,037,57146,4458664.92,78.02234487103209
19,West Virginia,WV,Kanawha,039,178124,1253707485.8199997,7038.397328939389
20,West Virginia,WV,Lewis,041,16452,13438418.219999999,816.8258096280086
21,West Virginia,WV,Lincoln,043,21559,12463290.59,578.1015163040958
22,West Virginia,WV,Logan,045,35987,42506784.1,1181.170536582655
23,West Virginia,WV,McDowell,047,20876,19451651.8,931.7710193523664
24,West Virginia,WV,Marion,049,56072,99152995.96,1768.3156648594663
25,West Virginia,WV,Marshall,051,32459,9444822.399999995,290.9769986752517
26,West Virginia,WV,Mason,053,27126,4282614.42,157.87858217208583
27,West Virginia,WV,Mercer,055,58758,50480047.47,859.11786429082
28,West Virginia,WV,Mineral,057,27704,6496081.09,234.48170264221773
29,West Virginia,WV,Mingo,059,25900,17425379.05,672.7945579150579
30,West Virginia,WV,Monongalia,061,105612,224666586.1499999,2127.2827533802965
31,West Virginia,WV,Monroe,063,13483,1811321.91,134.3411636876066
32,West Virginia,WV,Morgan,065,17498,3874173.39,221.40664018745
33,West Virginia,WV,Nicholas,067,25965,18341309.4,706.3858809936453
34,West Virginia,WV,Ohio,069,41411,19466050.8,470.0695660573278
35,West Virginia,WV,Pendleton,071,7471,11874297.12,1589.3852389238386
36,West Virginia,WV,Pleasants,073,7577,4582875.580000001,604.8403827372313
37,West Virginia,WV,Pocahontas,075,8669,33448262.620000005,3858.3761241204297
38,West Virginia,WV,Preston,077,33859,2835116.7400000007,83.73303228092976
39,West Virginia,WV,Putnam,079,56450,49205883.58,871.6719854738707
40,West Virginia,WV,Raleigh,081,73361,37111457.03999999,505.87447063153434
41,West Virginia,WV,Randolph,083,29415,25970715.05,882.90719190889
42,West Virginia,WV,Ritchie,085,10073,7535650.41,748.1038826566067
43,West Virginia,WV,Roane,087,14656,9174764.76,626.0074208515284
44,West Virginia,WV,Summers,089,13563,3341523.0100000002,246.37049399100496
45,West Virginia,WV,Taylor,091,16973,14229203.55,838.3434602014966
46,West Virginia,WV,Tucker,093,6968,7732124.61,1109.6619704362802
47,West Virginia,WV,Tyler,095,8995,1407586.71,156.48545969983323
48,West Virginia,WV,Upshur,097,24665,23421521.16,949.5852892763024
49,West Virginia,WV,Wayne,099,39402,47125793.660000004,1196.0254215522057
50,West Virginia,WV,Webster,101,8893,1125529.17,126.56349600809625
51,West Virginia,WV,Wetzel,103,16204,1331062.1400000001,82.14404714885214
52,West Virginia,WV,Wirt,105,5901,11146995.0,1889.0010167768176
53,West Virginia,WV,Wood,107,83518,16095897.68,192.72369644866976
54,West Virginia,WV,Wyoming,109,23019,37206324.0,1616.3310308875277
