,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Wyoming,WY,Albany,001,38880,130253340.16000004,3350.1373497942395
1,Wyoming,WY,Big Horn,003,11790,6237727.9799999995,529.06937913486
2,Wyoming,WY,Campbell,005,46341,30713668.529999997,662.7752644526445
3,Wyoming,WY,Carbon,007,14800,25004294.22,1689.4793391891892
4,Wyoming,WY,Converse,009,13822,20197847.76,1461.2825756041095
5,Wyoming,WY,Crook,011,7584,17333270.74,2285.505108122363
6,Wyoming,WY,Fremont,013,39261,103406933.98,2633.8334219709127
7,Wyoming,WY,Goshen,015,13211,9447257.559999999,715.1054091287563
8,Wyoming,WY,Hot Springs,017,4413,2544695.48,576.6361840018128
9,Wyoming,WY,Johnson,019,8445,19873608.27,2353.2987886323267
10,Wyoming,WY,Laramie,021,99500,685380533.0,6888.246562814071
11,Wyoming,WY,Lincoln,023,19830,2764437.5399999996,139.40683509833585
12,Wyoming,WY,Natrona,025,79858,53501910.72000001,669.9630684464927
13,Wyoming,WY,Niobrara,027,2356,16248759.97,6896.757202886248
14,Wyoming,WY,Park,029,29194,15842245.459999999,542.6541570185655
15,Wyoming,WY,Platte,031,8393,8177840.83,974.3644501370189
16,Wyoming,WY,Sheridan,033,30485,11083716.4,363.5793472199442
17,Wyoming,WY,Sublette,035,9831,1065848.9399999997,108.41714372902041
18,Wyoming,WY,Sweetwater,037,42343,45140340.379999995,1066.0638211746923
19,Wyoming,WY,Teton,039,23464,35114950.55,1496.5457956870098
20,Wyoming,WY,Uinta,041,20226,2099427.6,103.79845743102938
21,Wyoming,WY,Washakie,043,7805,7045972.9,902.7511723254324
22,Wyoming,WY,Weston,045,6927,7207708.55,1040.5238270535585
