,State_x,Code,County,county_code,Population2019,Award_Amount,grants_per_capita
0,Washington,WA,Adams,001,19067,45361072.36,2379.035630146326
1,Washington,WA,Asotin,003,22110,1866588.49,84.42281727725012
2,Washington,WA,Benton,005,204390,116107307.73,568.0674579480406
3,Washington,WA,Chelan,007,77200,69276176.24000001,897.3597958549224
4,Washington,WA,Clallam,009,77331,46248542.86000001,598.0595474001371
5,Washington,WA,Clark,011,488241,65685139.720000006,134.53425607435673
6,Washington,WA,Columbia,013,4032,1627896.42,403.7441517857143
7,Washington,WA,Cowlitz,015,110593,36728598.91,332.1060004701925
8,Washington,WA,Douglas,017,43429,4325626.97,99.60226968154919
9,Washington,WA,Ferry,019,7646,12298467.520000001,1608.4838503792835
10,Washington,WA,Franklin,021,95222,41085684.63,431.4726074856651
11,Washington,WA,Garfield,023,2256,4578221.12,2029.3533333333335
12,Washington,WA,Grant,025,97733,64403512.85000001,658.9740706823694
13,Washington,WA,Grays Harbor,027,75061,22587637.24,300.92374522055394
14,Washington,WA,Island,029,85141,7484100.63,87.90242808987445
15,Washington,WA,Jefferson,031,30076,21260356.81,706.887777962495
16,Washington,WA,King,033,2252782,4792734895.83,2127.473894868656
17,Washington,WA,Kitsap,035,271473,216798174.73999998,798.5993993509483
18,Washington,WA,Kittitas,037,47935,45146760.11000001,941.8329010117869
19,Washington,WA,Klickitat,039,20866,19893131.93,953.3754399501581
20,Washington,WA,Lewis,041,80707,43054665.379999995,533.4687868462462
21,Washington,WA,Lincoln,043,10301,5437361.17,527.847895349966
22,Washington,WA,Mason,045,66768,9708465.950000001,145.40597217229814
23,Washington,WA,Okanogan,047,42243,87935984.77000001,2081.6699753805365
24,Washington,WA,Pacific,049,20498,13329089.96,650.2629505317592
25,Washington,WA,Pend Oreille,051,12896,3685686.67,285.800765353598
26,Washington,WA,Pierce,053,904980,1331521088.7900002,1471.326536265995
27,Washington,WA,San Juan,055,15875,12669763.24,798.0953222047244
28,Washington,WA,Skagit,057,129205,37181114.81000001,287.7683898455943
29,Washington,WA,Skamania,059,11274,1557390.1700000002,138.13998314706404
30,Washington,WA,Snohomish,061,822083,168976067.34,205.54623722908758
31,Washington,WA,Spokane,063,522798,207733842.09,397.35010862704144
32,Washington,WA,Stevens,065,45723,39808887.24999999,870.6534402816961
33,Washington,WA,Thurston,067,290536,3442111601.0900006,11847.452987202965
34,Washington,WA,Wahkiakum,069,4042,424156.66,104.93732310737258
35,Washington,WA,Walla Walla,071,60760,25478682.62,419.3331570111916
36,Washington,WA,Whatcom,073,229247,125229963.97000001,546.2665333461289
37,Washington,WA,Whitman,075,50104,164433341.87,3281.8406089334185
38,Washington,WA,Yakima,077,250873,370657787.0699999,1477.4718166960968
