,Amount,code,Country Name,UN Region,Population,Population Date,log_Population
1,5151298494.13,CHE,Switzerland,Europe,8753933,31 Mar 2022,6.942203218328999
2,2469135809.71,UKR,Ukraine,Europe,41130432,1 Feb 2022,7.614163271002754
3,1343250307.33,ETH,Ethiopia,Africa,120812698,1 Jul 2022,8.082112583138686
4,1333033215.98,NGA,Nigeria,Africa,216746934,1 Jul 2022,8.33595296286659
5,1223849981.33,KEN,Kenya,Africa,47564296,31 Aug 2019,7.677281073129907
6,809150365.0,AFG,Afghanistan,Asia,32890171,1 Jul 2020,7.517066131438366
7,791984365.61,SYR,Syria,Asia,18276000,1 Jul 2021,7.261881149383667
8,773882759.08,SOM,Somalia,Africa,16360000,1 Jul 2021,7.213783299335304
9,668994930.73,COD,DR Congo,Africa,92378000,1 Jul 2021,7.965568555460146
10,587339950.63,ZAF,South Africa,Africa,60142978,1 Jul 2021,7.779184928535812
11,543858198.38,YEM,Yemen,Asia,30491000,1 Jul 2021,7.484171667965255
12,518189340.0,SSD,South Sudan,Africa,13249924,1 Jul 2020,7.122213387218088
13,500728532.69,UGA,Uganda,Africa,42885900,1 Jul 2021,7.632314528577885
14,488414186.03,MOZ,Mozambique,Africa,31616078,1 Jul 2022,7.499907994356414
15,477331359.41,BGD,Bangladesh,Asia,168220000,1 Jul 2020,8.225877628639518
16,398435413.03,ITA,Italy,Europe,58906742,31 Mar 2022,7.77016500354486
17,396780055.47,SDN,Sudan,Africa,44601270,19 Jul 2022,7.649347225217507
18,336436777.24,COL,Colombia,Americas,51049498,30 Jun 2021,7.707991475768632
19,307433113.05,ZWE,Zimbabwe,Africa,15790716,1 Jul 2021,7.198401822712481
20,259739854.53,ZMB,Zambia,Africa,18400556,1 Jul 2021,7.264830946057566
21,251361794.53,TZA,Tanzania,Africa,59441988,1 Jul 2021,7.7740933257019185
22,249190711.04,IRQ,Iraq,Asia,41190700,1 Jul 2021,7.614799172474848
23,246028536.63,GHA,Ghana,Africa,30832019,27 Jun 2021,7.489001964942171
24,235875637.36,MWI,Malawi,Africa,21507723,1 Jul 2022,7.332594434521366
25,201675524.92,VEN,Venezuela,Americas,28705000,1 Jul 2021,7.457957551203638
26,198299107.11,HTI,Haiti,Americas,11743017,1 Jul 2020,7.069779689596565
27,192602768.31,MMR,Myanmar,Asia,55294979,1 Jul 2021,7.742685697460326
28,189612871.14,JOR,Jordan,Asia,11256108,19 Jul 2022,7.051388251411322
29,187719084.66,LBN,Lebanon,Asia,6769000,1 Jul 2021,6.830524514097259
30,161780958.34,GTM,Guatemala,Americas,17109746,1 Jul 2021,7.233243562339627
31,156275370.29,NER,Niger,Africa,24112753,1 Jul 2021,7.382246797455569
32,142816093.03,EGY,Egypt,Africa,103596325,19 Jul 2022,8.015344349419546
33,141737474.73,SLV,El Salvador,Americas,6825935,1 Jul 2021,6.834162148390946
34,136064841.41,CMR,Cameroon,Africa,24348251,1 Jul 2019,7.386467770136708
35,135263732.29,PER,Peru,Americas,33396698,1 Jul 2022,7.523703529348386
36,125739142.27,IND,India,Asia,1373761000,1 Mar 2022,9.13791118293486
37,125724913.79,MDG,Madagascar,Africa,26923353,1 Jul 2021,7.430129145400308
38,120109053.34,VNM,Vietnam,Asia,98505400,1 Jul 2021,7.9934600388825885
39,119343935.35,PHL,Philippines,Asia,112170196,19 Jul 2022,8.049877478736716
40,118478757.1,MLI,Mali,Africa,21473764,1 Jul 2022,7.331908175836099
41,112521617.7,BFA,Burkina Faso,Africa,21510181,1 Jul 2020,7.332644064825886
42,110288768.25,THA,Thailand,Asia,66813330,19 Jul 2022,7.824863117683719
43,108555922.3,PAK,Pakistan,Asia,229488994,1 Jul 2022,8.36076186216224
44,105786592.62,CAF,Central African Republic,Africa,5633412,1 Jul 2020,6.750771514555674
45,103302850.01,DOM,Dominican Republic,Americas,10535535,1 Jul 2021,7.022656594205946
46,99854877.4,SEN,Senegal,Africa,17223497,1 Jul 2021,7.236121333738666
47,98849999.46,CAN,Canada,Americas,38823639,19 Jul 2022,7.589096240056743
48,94743222.84,MEX,Mexico,Americas,128271248,31 Mar 2022,8.108129320176166
49,91908735.31,RWA,Rwanda,Africa,12955768,1 Jul 2021,7.112463162460869
