,Country Name,FY2022 Grants Amount,UN Region,Population,Population Date,id,log_FY2022 Grants Amount
0,Afghanistan,809150365.0,Asia,32890171.0,1 Jul 2020,Afghanistan,8.908029234370952
1,Angola,41542378.73,Africa,33086278.0,30 Jun 2022,Angola,7.618491360753135
2,Albania,42389674.73,Europe,2829741.0,1 Jan 2021,Albania,7.627260084095749
3,United Arab Emirates,2369615.37,Asia,9282410.0,31 Dec 2020,United Arab Emirates,6.374677858143937
4,Argentina,21491599.47,Americas,47327407.0,18 May 2022,Argentina,7.332268738206459
5,Armenia,17226747.91,Asia,2963900.0,31 Mar 2021,Armenia,7.236203298455146
6,French Southern Territories,,,,,French Southern Territories,
7,Australia,61440290.33,Oceania,25920968.0,19 Jul 2022,Australia,7.788453259243817
8,Austria,15111828.72,Europe,9027999.0,1 Apr 2022,Austria,7.179317022575211
9,Azerbaijan,7739532.92,Asia,10164464.0,1 Mar 2022,Azerbaijan,6.888714751847301
10,Burundi,20485833.0,Africa,12574571.0,1 Jul 2021,Burundi,7.311453628037669
11,Belgium,6189414.82,Europe,11657619.0,1 Apr 2022,Belgium,6.791649590464636
12,Benin,11387179.47,Africa,12506347.0,1 Jul 2021,Benin,7.05641616549197
13,Burkina Faso,112521617.7,Africa,21510181.0,1 Jul 2020,Burkina Faso,8.051235967299892
14,Bangladesh,477331359.41,Asia,168220000.0,1 Jul 2020,Bangladesh,8.678819967304303
15,Bulgaria,2115922.85,Europe,6520314.0,7 Sep 2021,Bulgaria,6.3254998285663095
16,Bahamas,2498997.35,Americas,393450.0,1 Jul 2021,Bahamas,6.397765795589841
17,Bosnia and Herzegovina,21963335.48,Europe,3320954.0,1 Jul 2020,Bosnia and Herzegovina,7.341698295275231
18,Belarus,4950418.0,Europe,9349645.0,1 Jan 2021,Belarus,6.694641871141458
19,Belize,1884885.62,Americas,430191.0,1 Jul 2021,Belize,6.275285001167804
20,Bermuda,8537141.0,Americas,64055.0,1 Jul 2021,Bermuda,6.9313124543180376
21,Bolivia,4668798.29,Americas,11797257.0,1 Jul 2021,Bolivia,6.669205111148138
22,Brazil,60443235.04,Americas,214902876.0,19 Jul 2022,Brazil,7.7813477005780065
23,Brunei Darussalam,89870.0,Asia,429999.0,1 Jul 2021,Brunei Darussalam,4.95361474169064
24,Bhutan,,,,,Bhutan,
25,Botswana,35741268.26,Africa,2410338.0,1 Jul 2021,Botswana,7.553169959153037
26,Central African Republic,105786592.62,Africa,5633412.0,1 Jul 2020,Central African Republic,8.02443062875661
27,Canada,98849999.46,Americas,38823639.0,19 Jul 2022,Canada,7.994976671277217
28,Switzerland,5151298494.13,Europe,8753933.0,31 Mar 2022,Switzerland,9.711916715983785
29,Chile,6073845.17,Americas,19678363.0,30 Jun 2021,Chile,6.783463717007392
30,China,13819347.48,Asia,1412600000.0,31 Dec 2021,China,7.140487537066713
31,Cote d'Ivoire,79847074.43,Africa,27087732.0,1 Jul 2021,Cote d'Ivoire,7.902259008361996
32,Cameroon,136064841.41,Africa,24348251.0,1 Jul 2019,Cameroon,8.133745919808733
